task_type,task_id,task,policy,repeat,seed,example_id,example_task,cosine,example_length,example_chars,same_object,same_operation,same_destination
state_change_task,test_task12,Turn on all lightswitches,random,2,9565496052585395089,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task12,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task12,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task13,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task13,Turn on all lightswitches,random,0,4416248259661308559,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task13,Turn on all lightswitches,random,1,13732083232208756080,example_task21,Turn off all cellphones,0.3894766569137573,8,315,0,0,
state_change_task,test_task13,Turn on all lightswitches,random,2,13340020560133993242,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task13,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task13,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task14,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task14,Turn on all lightswitches,random,0,4579558805873775348,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task14,Turn on all lightswitches,random,1,14116413695194797839,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task14,Turn on all lightswitches,random,2,7813577847764728202,example_task4,Turn on all faucets,0.4804110527038574,4,157,0,1,
state_change_task,test_task14,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task14,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task15,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task15,Turn on all lightswitches,random,0,12129128159761440769,example_task21,Turn off all cellphones,0.3894766569137573,8,315,0,0,
state_change_task,test_task15,Turn on all lightswitches,random,1,14882713461191214543,example_task21,Turn off all cellphones,0.3894766569137573,8,315,0,0,
state_change_task,test_task15,Turn on all lightswitches,random,2,11531035151915830203,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task15,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task15,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task16,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task16,Turn on all lightswitches,random,0,13461931213937441672,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task16,Turn on all lightswitches,random,1,4140971137895220338,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task16,Turn on all lightswitches,random,2,9662951342494672004,example_task4,Turn on all faucets,0.4804110527038574,4,157,0,1,
state_change_task,test_task16,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task16,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task17,Turn on all tvs,semantic,0,,example_task12,Turn on all computers,0.6019070744514465,4,169,0,1,
state_change_task,test_task17,Turn on all tvs,random,0,13314439745247842764,example_task4,Turn on all faucets,0.48697182536125183,4,157,0,1,
state_change_task,test_task17,Turn on all tvs,random,1,590435808656257574,example_task12,Turn on all computers,0.6019070744514465,4,169,0,1,
state_change_task,test_task17,Turn on all tvs,random,2,12123772560318875300,example_task13,Turn off all faucets,0.4153762757778168,4,160,0,0,
state_change_task,test_task17,Turn on all tvs,fixed,0,,example_task81,Turn off all candles,0.4064347445964813,6,225,0,0,
state_change_task,test_task17,Turn on all tvs,none,0,,,,,0,0,,,
state_change_task,test_task18,Turn on all tvs,semantic,0,,example_task12,Turn on all computers,0.6019070744514465,4,169,0,1,
state_change_task,test_task18,Turn on all tvs,random,0,7947162317112912142,example_task4,Turn on all faucets,0.48697182536125183,4,157,0,1,
state_change_task,test_task18,Turn on all tvs,random,1,13177620163727365732,example_task4,Turn on all faucets,0.48697182536125183,4,157,0,1,
state_change_task,test_task18,Turn on all tvs,random,2,16590300071774008249,example_task21,Turn off all cellphones,0.4297104775905609,8,315,0,0,
state_change_task,test_task18,Turn on all tvs,fixed,0,,example_task81,Turn off all candles,0.4064347445964813,6,225,0,0,
state_change_task,test_task18,Turn on all tvs,none,0,,,,,0,0,,,
state_change_task,test_task19,Turn on all tvs,semantic,0,,example_task12,Turn on all computers,0.6019070744514465,4,169,0,1,
state_change_task,test_task19,Turn on all tvs,random,0,12885584520985006071,example_task13,Turn off all faucets,0.4153762757778168,4,160,0,0,
state_change_task,test_task19,Turn on all tvs,random,1,2025289443536305298,example_task12,Turn on all computers,0.6019070744514465,4,169,0,1,
state_change_task,test_task19,Turn on all tvs,random,2,16805372173129668089,example_task76,Turn on all tablelamps,0.46107590198516846,6,242,0,1,
state_change_task,test_task19,Turn on all tvs,fixed,0,,example_task81,Turn off all candles,0.4064347445964813,6,225,0,0,
state_change_task,test_task19,Turn on all tvs,none,0,,,,,0,0,,,
state_change_task,test_task20,Turn on all tvs,semantic,0,,example_task12,Turn on all computers,0.6019070744514465,4,169,0,1,
state_change_task,test_task20,Turn on all tvs,random,0,10626485268913218310,example_task21,Turn off all cellphones,0.4297104775905609,8,315,0,0,
state_change_task,test_task20,Turn on all tvs,random,1,15850538853101382037,example_task76,Turn on all tablelamps,0.46107590198516846,6,242,0,1,
state_change_task,test_task20,Turn on all tvs,random,2,12878584937673801007,example_task13,Turn off all faucets,0.4153762757778168,4,160,0,0,
state_change_task,test_task20,Turn on all tvs,fixed,0,,example_task81,Turn off all candles,0.4064347445964813,6,225,0,0,
state_change_task,test_task20,Turn on all tvs,none,0,,,,,0,0,,,
state_change_task,test_task21,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task21,Turn off all lightswitches,random,0,11717433498597546394,example_task21,Turn off all cellphones,0.46563106775283813,8,315,0,1,
state_change_task,test_task21,Turn off all lightswitches,random,1,9837654373653303746,example_task21,Turn off all cellphones,0.46563106775283813,8,315,0,1,
state_change_task,test_task21,Turn off all lightswitches,random,2,12081836617969530671,example_task12,Turn on all computers,0.4601632356643677,4,169,0,0,
state_change_task,test_task21,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task21,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task22,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task22,Turn off all lightswitches,random,0,6388053123104899327,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task22,Turn off all lightswitches,random,1,8517218332598804487,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task22,Turn off all lightswitches,random,2,12376869835806170908,example_task12,Turn on all computers,0.4601632356643677,4,169,0,0,
state_change_task,test_task22,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task22,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task23,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task23,Turn off all lightswitches,random,0,13226498918698701678,example_task4,Turn on all faucets,0.4170824885368347,4,157,0,0,
state_change_task,test_task23,Turn off all lightswitches,random,1,18133278599722489014,example_task21,Turn off all cellphones,0.46563106775283813,8,315,0,1,
state_change_task,test_task23,Turn off all lightswitches,random,2,8231144849454958337,example_task13,Turn off all faucets,0.46797624230384827,4,160,0,1,
state_change_task,test_task23,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task23,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task24,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task24,Turn off all lightswitches,random,0,13126422459271715775,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task24,Turn off all lightswitches,random,1,17205092498599512293,example_task13,Turn off all faucets,0.46797624230384827,4,160,0,1,
state_change_task,test_task24,Turn off all lightswitches,random,2,12294725265476593538,example_task21,Turn off all cellphones,0.46563106775283813,8,315,0,1,
state_change_task,test_task24,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task24,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task25,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task25,Turn off all lightswitches,random,0,1895201000983919429,example_task12,Turn on all computers,0.4601632356643677,4,169,0,0,
state_change_task,test_task25,Turn off all lightswitches,random,1,9581979784460205485,example_task4,Turn on all faucets,0.4170824885368347,4,157,0,0,
state_change_task,test_task25,Turn off all lightswitches,random,2,8829062204639838855,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task25,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task25,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task26,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task26,Turn off all lightswitches,random,0,4381848409703188546,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task26,Turn off all lightswitches,random,1,17903223772206971520,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task26,Turn off all lightswitches,random,2,4891203794789968033,example_task4,Turn on all faucets,0.4170824885368347,4,157,0,0,
state_change_task,test_task26,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task26,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task27,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task27,Turn off all lightswitches,random,0,14591811053066450507,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task27,Turn off all lightswitches,random,1,15484257693806916675,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task27,Turn off all lightswitches,random,2,5583990763133426008,example_task12,Turn on all computers,0.4601632356643677,4,169,0,0,
state_change_task,test_task27,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task27,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task28,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task28,Turn off all lightswitches,random,0,10309945910103689821,example_task12,Turn on all computers,0.4601632356643677,4,169,0,0,
state_change_task,test_task28,Turn off all lightswitches,random,1,98446944171647156,example_task21,Turn off all cellphones,0.46563106775283813,8,315,0,1,
state_change_task,test_task28,Turn off all lightswitches,random,2,3022130011938903632,example_task4,Turn on all faucets,0.4170824885368347,4,157,0,0,
state_change_task,test_task28,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task28,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task29,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task29,Turn off all lightswitches,random,0,7150659779942358810,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task29,Turn off all lightswitches,random,1,3621032599203429020,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task29,Turn off all lightswitches,random,2,7749084538522939094,example_task4,Turn on all faucets,0.4170824885368347,4,157,0,0,
state_change_task,test_task29,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task29,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task30,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task30,Turn off all lightswitches,random,0,14429462010933243349,example_task12,Turn on all computers,0.4601632356643677,4,169,0,0,
state_change_task,test_task30,Turn off all lightswitches,random,1,1870739336137792841,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task30,Turn off all lightswitches,random,2,874220550458944714,example_task21,Turn off all cellphones,0.46563106775283813,8,315,0,1,
state_change_task,test_task30,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task30,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task31,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task31,Turn off all lightswitches,random,0,4374934065510475169,example_task13,Turn off all faucets,0.46797624230384827,4,160,0,1,
state_change_task,test_task31,Turn off all lightswitches,random,1,6852960032473359660,example_task4,Turn on all faucets,0.4170824885368347,4,157,0,0,
state_change_task,test_task31,Turn off all lightswitches,random,2,8417227966467592262,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task31,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task31,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task32,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task32,Turn off all lightswitches,random,0,7388819762454497696,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task32,Turn off all lightswitches,random,1,16144086426449252493,example_task13,Turn off all faucets,0.46797624230384827,4,160,0,1,
state_change_task,test_task32,Turn off all lightswitches,random,2,2332595790875076,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task32,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task32,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task33,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task33,Turn off all lightswitches,random,0,17620488897440361095,example_task12,Turn on all computers,0.4601632356643677,4,169,0,0,
state_change_task,test_task33,Turn off all lightswitches,random,1,11625874489371738360,example_task13,Turn off all faucets,0.46797624230384827,4,160,0,1,
state_change_task,test_task33,Turn off all lightswitches,random,2,11430723384325719653,example_task12,Turn on all computers,0.4601632356643677,4,169,0,0,
state_change_task,test_task33,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task33,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task34,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task34,Turn off all lightswitches,random,0,11527435137963047327,example_task12,Turn on all computers,0.4601632356643677,4,169,0,0,
state_change_task,test_task34,Turn off all lightswitches,random,1,3140106791283882903,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task34,Turn off all lightswitches,random,2,2268827006707126829,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task34,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task34,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task35,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task35,Turn off all lightswitches,random,0,3945895573874138076,example_task13,Turn off all faucets,0.46797624230384827,4,160,0,1,
state_change_task,test_task35,Turn off all lightswitches,random,1,2140627301367404139,example_task13,Turn off all faucets,0.46797624230384827,4,160,0,1,
state_change_task,test_task35,Turn off all lightswitches,random,2,1284006408233100641,example_task76,Turn on all tablelamps,0.5638211965560913,6,242,0,0,
state_change_task,test_task35,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task35,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task36,Turn off all lightswitches,semantic,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task36,Turn off all lightswitches,random,0,3589317049580002860,example_task12,Turn on all computers,0.4601632356643677,4,169,0,0,
state_change_task,test_task36,Turn off all lightswitches,random,1,3241664183247461066,example_task13,Turn off all faucets,0.46797624230384827,4,160,0,1,
state_change_task,test_task36,Turn off all lightswitches,random,2,12818917051790156648,example_task12,Turn on all computers,0.4601632356643677,4,169,0,0,
state_change_task,test_task36,Turn off all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5849753618240356,6,225,0,1,
state_change_task,test_task36,Turn off all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task37,Turn off all tablelamps,semantic,0,,example_task76,Turn on all tablelamps,0.9095948934555054,6,242,1,0,
state_change_task,test_task37,Turn off all tablelamps,random,0,6084369871301915774,example_task81,Turn off all candles,0.4964370131492615,6,225,0,1,
state_change_task,test_task37,Turn off all tablelamps,random,1,7428188465635400624,example_task13,Turn off all faucets,0.45084327459335327,4,160,0,1,
state_change_task,test_task37,Turn off all tablelamps,random,2,16941130123094772903,example_task13,Turn off all faucets,0.45084327459335327,4,160,0,1,
state_change_task,test_task37,Turn off all tablelamps,fixed,0,,example_task81,Turn off all candles,0.4964370131492615,6,225,0,1,
state_change_task,test_task37,Turn off all tablelamps,none,0,,,,,0,0,,,
state_change_task,test_task38,Turn off all tablelamps,semantic,0,,example_task76,Turn on all tablelamps,0.9095948934555054,6,242,1,0,
state_change_task,test_task38,Turn off all tablelamps,random,0,9851364427737255687,example_task13,Turn off all faucets,0.45084327459335327,4,160,0,1,
state_change_task,test_task38,Turn off all tablelamps,random,1,15389287155627979423,example_task13,Turn off all faucets,0.45084327459335327,4,160,0,1,
state_change_task,test_task38,Turn off all tablelamps,random,2,18342748033101581001,example_task76,Turn on all tablelamps,0.9095948934555054,6,242,1,0,
state_change_task,test_task38,Turn off all tablelamps,fixed,0,,example_task81,Turn off all candles,0.4964370131492615,6,225,0,1,
state_change_task,test_task38,Turn off all tablelamps,none,0,,,,,0,0,,,
state_change_task,test_task39,Turn off all tablelamps,semantic,0,,example_task76,Turn on all tablelamps,0.9095948934555054,6,242,1,0,
state_change_task,test_task39,Turn off all tablelamps,random,0,7599199563935844312,example_task76,Turn on all tablelamps,0.9095948934555054,6,242,1,0,
state_change_task,test_task39,Turn off all tablelamps,random,1,17790300144983556091,example_task81,Turn off all candles,0.4964370131492615,6,225,0,1,
state_change_task,test_task39,Turn off all tablelamps,random,2,7351297044969989412,example_task21,Turn off all cellphones,0.45363759994506836,8,315,0,1,
state_change_task,test_task39,Turn off all tablelamps,fixed,0,,example_task81,Turn off all candles,0.4964370131492615,6,225,0,1,
