task_type,split,task_id,task_name,template,operation,object,destination,scene,initial_room,initial_states,goal_states,goal_count,required_state_changes,reference_length,reference_actions,initially_complete_proxy,selection,graph_available,human_completed
placement_task,test,test_task83,Put all milks on the kitchencounter,Put all {object} {relation} the {destination},on,milks,kitchencounter,6,kitchen,[],"[{""from_id"": 245, ""relation_type"": ""ON"", ""to_id"": 189}, {""from_id"": 246, ""relation_type"": ""ON"", ""to_id"": 189}]",2,,0,[],True,12 equally spaced length-order quantiles; outcome-blind,False,False
placement_task,test,test_task9,Put all plums on the kitchencounter,Put all {object} {relation} the {destination},on,plums,kitchencounter,1,kitchen,[],"[{""from_id"": 443, ""relation_type"": ""ON"", ""to_id"": 238}, {""from_id"": 444, ""relation_type"": ""ON"", ""to_id"": 238}]",2,,8,"[""[WALK] <plum> (443)"", ""[GRAB] <plum> (443)"", ""[WALK] <kitchencounter> (238)"", ""[PUT] <plum> (443) <kitchencounter> (238)"", ""[WALK] <plum> (444)"", ""[GRAB] <plum> (444)"", ""[WALK] <kitchencounter> (238)"", ""[PUT] <plum> (444) <kitchencounter> (238)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
placement_task,test,test_task31,Put all peaches in the microwave,Put all {object} {relation} the {destination},in,peaches,microwave,2,bathroom,"[{""id"": 234, ""states"": [""OPEN"", ""OFF""]}]","[{""from_id"": 117, ""relation_type"": ""INSIDE"", ""to_id"": 234}, {""from_id"": 118, ""relation_type"": ""INSIDE"", ""to_id"": 234}]",2,,8,"[""[WALK] <peach> (117)"", ""[GRAB] <peach> (117)"", ""[WALK] <microwave> (234)"", ""[PUTIN] <peach> (117) <microwave> (234)"", ""[WALK] <peach> (118)"", ""[GRAB] <peach> (118)"", ""[WALK] <microwave> (234)"", ""[PUTIN] <peach> (118) <microwave> (234)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
placement_task,test,test_task47,Put all juices in the fridge,Put all {object} {relation} the {destination},in,juices,fridge,3,bathroom,"[{""id"": 162, ""states"": [""OPEN""]}]","[{""from_id"": 173, ""relation_type"": ""INSIDE"", ""to_id"": 162}, {""from_id"": 174, ""relation_type"": ""INSIDE"", ""to_id"": 162}]",2,,8,"[""[WALK] <juice> (173)"", ""[GRAB] <juice> (173)"", ""[WALK] <fridge> (162)"", ""[PUTIN] <juice> (173) <fridge> (162)"", ""[WALK] <juice> (174)"", ""[GRAB] <juice> (174)"", ""[WALK] <fridge> (162)"", ""[PUTIN] <juice> (174) <fridge> (162)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
placement_task,test,test_task71,Put all crackers in the microwave,Put all {object} {relation} the {destination},in,crackers,microwave,4,kitchen,"[{""id"": 109, ""states"": [""OPEN"", ""OFF""]}]","[{""from_id"": 63, ""relation_type"": ""INSIDE"", ""to_id"": 109}, {""from_id"": 66, ""relation_type"": ""INSIDE"", ""to_id"": 109}]",2,,8,"[""[WALK] <crackers> (63)"", ""[GRAB] <crackers> (63)"", ""[WALK] <microwave> (109)"", ""[PUTIN] <crackers> (63) <microwave> (109)"", ""[WALK] <crackers> (66)"", ""[GRAB] <crackers> (66)"", ""[WALK] <microwave> (109)"", ""[PUTIN] <crackers> (66) <microwave> (109)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
placement_task,test,test_task89,Put all chips on the kitchentable,Put all {object} {relation} the {destination},on,chips,kitchentable,7,bedroom,[],"[{""from_id"": 190, ""relation_type"": ""ON"", ""to_id"": 129}, {""from_id"": 191, ""relation_type"": ""ON"", ""to_id"": 129}]",2,,8,"[""[WALK] <chips> (190)"", ""[GRAB] <chips> (190)"", ""[WALK] <kitchentable> (129)"", ""[PUT] <chips> (190) <kitchentable> (129)"", ""[WALK] <chips> (191)"", ""[GRAB] <chips> (191)"", ""[WALK] <kitchentable> (129)"", ""[PUT] <chips> (191) <kitchentable> (129)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
placement_task,test,test_task75,Put all cupcakes on the desk,Put all {object} {relation} the {destination},on,cupcakes,desk,5,bedroom,[],"[{""from_id"": 97, ""relation_type"": ""ON"", ""to_id"": 29}, {""from_id"": 210, ""relation_type"": ""ON"", ""to_id"": 29}, {""from_id"": 211, ""relation_type"": ""ON"", ""to_id"": 29}]",3,,8,"[""[WALK] <cupcake> (210)"", ""[GRAB] <cupcake> (210)"", ""[WALK] <desk> (29)"", ""[PUT] <cupcake> (210) <desk> (29)"", ""[WALK] <cupcake> (211)"", ""[GRAB] <cupcake> (211)"", ""[WALK] <desk> (29)"", ""[PUT] <cupcake> (211) <desk> (29)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
placement_task,test,test_task36,Put all plums in the microwave,Put all {object} {relation} the {destination},in,plums,microwave,2,livingroom,"[{""id"": 234, ""states"": [""CLOSED"", ""OFF""]}]","[{""from_id"": 119, ""relation_type"": ""INSIDE"", ""to_id"": 234}, {""from_id"": 120, ""relation_type"": ""INSIDE"", ""to_id"": 234}]",2,,9,"[""[WALK] <plum> (119)"", ""[GRAB] <plum> (119)"", ""[WALK] <microwave> (234)"", ""[OPEN] <microwave> (234)"", ""[PUTIN] <plum> (119) <microwave> (234)"", ""[WALK] <plum> (120)"", ""[GRAB] <plum> (120)"", ""[WALK] <microwave> (234)"", ""[PUTIN] <plum> (120) <microwave> (234)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
placement_task,test,test_task67,Put all plums in the microwave,Put all {object} {relation} the {destination},in,plums,microwave,4,bathroom,"[{""id"": 109, ""states"": [""CLOSED"", ""OFF""]}]","[{""from_id"": 53, ""relation_type"": ""INSIDE"", ""to_id"": 109}, {""from_id"": 54, ""relation_type"": ""INSIDE"", ""to_id"": 109}]",2,,9,"[""[WALK] <plum> (53)"", ""[GRAB] <plum> (53)"", ""[WALK] <microwave> (109)"", ""[OPEN] <microwave> (109)"", ""[PUTIN] <plum> (53) <microwave> (109)"", ""[WALK] <plum> (54)"", ""[GRAB] <plum> (54)"", ""[WALK] <microwave> (109)"", ""[PUTIN] <plum> (54) <microwave> (109)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
placement_task,test,test_task97,Put all alcohols in the microwave,Put all {object} {relation} the {destination},in,alcohols,microwave,7,livingroom,"[{""id"": 166, ""states"": [""CLOSED"", ""OFF""]}]","[{""from_id"": 196, ""relation_type"": ""INSIDE"", ""to_id"": 166}, {""from_id"": 248, ""relation_type"": ""INSIDE"", ""to_id"": 166}]",2,,9,"[""[WALK] <alcohol> (196)"", ""[GRAB] <alcohol> (196)"", ""[WALK] <microwave> (166)"", ""[OPEN] <microwave> (166)"", ""[PUTIN] <alcohol> (196) <microwave> (166)"", ""[WALK] <alcohol> (248)"", ""[GRAB] <alcohol> (248)"", ""[WALK] <microwave> (166)"", ""[PUTIN] <alcohol> (248) <microwave> (166)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
placement_task,test,test_task13,Put all bananas in the fridge,Put all {object} {relation} the {destination},in,bananas,fridge,1,bathroom,"[{""id"": 305, ""states"": [""CLOSED""]}]","[{""from_id"": 315, ""relation_type"": ""INSIDE"", ""to_id"": 305}, {""from_id"": 316, ""relation_type"": ""INSIDE"", ""to_id"": 305}, {""from_id"": 439, ""relation_type"": ""INSIDE"", ""to_id"": 305}]",3,,13,"[""[WALK] <bananas> (315)"", ""[GRAB] <bananas> (315)"", ""[WALK] <fridge> (305)"", ""[OPEN] <fridge> (305)"", ""[PUTIN] <bananas> (315) <fridge> (305)"", ""[WALK] <bananas> (316)"", ""[GRAB] <bananas> (316)"", ""[WALK] <fridge> (305)"", ""[PUTIN] <bananas> (316) <fridge> (305)"", ""[WALK] <bananas> (439)"", ""[GRAB] <bananas> (439)"", ""[WALK] <fridge> (305)"", ""[PUTIN] <bananas> (439) <fridge> (305)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
placement_task,test,test_task17,Put all bellpeppers in the fridge,Put all {object} {relation} the {destination},in,bellpeppers,fridge,1,bedroom,"[{""id"": 305, ""states"": [""CLOSED""]}]","[{""from_id"": 320, ""relation_type"": ""INSIDE"", ""to_id"": 305}, {""from_id"": 321, ""relation_type"": ""INSIDE"", ""to_id"": 305}, {""from_id"": 322, ""relation_type"": ""INSIDE"", ""to_id"": 305}, {""from_id"": 323, ""relation_type"": ""INSIDE"", ""to_id"": 305}, {""from_id"": 324, ""relation_type"": ""INSIDE"", ""to_id"": 305}, {""from_id"": 325, ""relation_type"": ""INSIDE"", ""to_id"": 305}]",6,,25,"[""[WALK] <bellpepper> (320)"", ""[GRAB] <bellpepper> (320)"", ""[WALK] <fridge> (305)"", ""[OPEN] <fridge> (305)"", ""[PUTIN] <bellpepper> (320) <fridge> (305)"", ""[WALK] <bellpepper> (321)"", ""[GRAB] <bellpepper> (321)"", ""[WALK] <fridge> (305)"", ""[PUTIN] <bellpepper> (321) <fridge> (305)"", ""[WALK] <bellpepper> (322)"", ""[GRAB] <bellpepper> (322)"", ""[WALK] <fridge> (305)"", ""[PUTIN] <bellpepper> (322) <fridge> (305)"", ""[WALK] <bellpepper> (323)"", ""[GRAB] <bellpepper> (323)"", ""[WALK] <fridge> (305)"", ""[PUTIN] <bellpepper> (323) <fridge> (305)"", ""[WALK] <bellpepper> (324)"", ""[GRAB] <bellpepper> (324)"", ""[WALK] <fridge> (305)"", ""[PUTIN] <bellpepper> (324) <fridge> (305)"", ""[WALK] <bellpepper> (325)"", ""[GRAB] <bellpepper> (325)"", ""[WALK] <fridge> (305)"", ""[PUTIN] <bellpepper> (325) <fridge> (305)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
