case_id,model,arm,repeat,status,action,json_condition_label,stripped_action_label,task_progress,vh_executable
pc_PUT_violate_1,gpt-4o-mini-2024-07-18,C1_llm_feedback,0,regenerated,[GRAB] <apple> (101),true,true,not_evaluated,not_evaluated
pc_PUT_violate_1,gpt-4o-mini-2024-07-18,C2_symbolic_feedback,0,regenerated,[GRAB] <apple> (101),true,true,not_evaluated,not_evaluated
pc_PUT_violate_1,gpt-4o-mini-2024-07-18,C4_neutral_revision,0,regenerated,[GRAB] <apple> (101),true,true,not_evaluated,not_evaluated
pc_PUT_violate_1,gpt-4o-2024-08-06,C0_fixed_candidate,0,offline_fixed_candidate,[PUT] <apple> (101) <kitchentable> (104),false,false,not_evaluated,not_evaluated
pc_PUT_violate_1,gpt-4o-2024-08-06,C1_llm_feedback,0,regenerated,[GRAB] <apple> (101),true,true,not_evaluated,not_evaluated
pc_PUT_violate_1,gpt-4o-2024-08-06,C2_symbolic_feedback,0,regenerated,[GRAB] <apple> (101),true,true,not_evaluated,not_evaluated
pc_PUT_violate_1,gpt-4o-2024-08-06,C4_neutral_revision,0,regenerated,[GRAB] <apple> (101),true,true,not_evaluated,not_evaluated
pc_PUTIN_violate_1,gpt-4o-mini-2024-07-18,C0_fixed_candidate,0,offline_fixed_candidate,[PUTIN] <apple> (101) <fridge> (102),false,false,not_evaluated,not_evaluated
pc_PUTIN_violate_1,gpt-4o-mini-2024-07-18,C1_llm_feedback,0,regenerated,[GRAB] <apple> (101),true,true,not_evaluated,not_evaluated
pc_PUTIN_violate_1,gpt-4o-mini-2024-07-18,C2_symbolic_feedback,0,regenerated,[GRAB] <apple> (101),true,true,not_evaluated,not_evaluated
pc_PUTIN_violate_1,gpt-4o-mini-2024-07-18,C4_neutral_revision,0,regenerated,[GRAB] <apple> (101),true,true,not_evaluated,not_evaluated
pc_PUTIN_violate_1,gpt-4o-2024-08-06,C0_fixed_candidate,0,offline_fixed_candidate,[PUTIN] <apple> (101) <fridge> (102),false,false,not_evaluated,not_evaluated
pc_PUTIN_violate_1,gpt-4o-2024-08-06,C1_llm_feedback,0,regenerated,[GRAB] <apple> (101),true,true,not_evaluated,not_evaluated
pc_PUTIN_violate_1,gpt-4o-2024-08-06,C2_symbolic_feedback,0,regenerated,[GRAB] <apple> (101),true,true,not_evaluated,not_evaluated
pc_PUTIN_violate_1,gpt-4o-2024-08-06,C4_neutral_revision,0,regenerated,[GRAB] <apple> (101),true,true,not_evaluated,not_evaluated
