run_id,kind,task_id,arm,model,reference_outcome,outcome,score_original_rule,final_goal_satisfied,reference_length,executed_successful_actions,execution_attempts,failed_execution_attempts,api_successful_requests,api_failed_requests,api_requests_in_prior_incomplete_attempts,input_tokens,output_tokens,estimated_usd_uncached,elapsed_seconds
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,placement_task,test_task65,C2_symbolic_precheck,gpt-4o-mini-2024-07-18,Reference Success,Success,1.0,True,9,9,9,0,22,0,0,8835,171,0.00142785,29.16501351199986
placement_task_test_task65_reference_reference,placement_task,test_task65,reference,reference,Reference Success,Reference Success,1,True,9,9,9,0,0,0,0,0,0,0,10.727978766000888
state_change_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,state_change_task,test_task1,C0_no_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,0,0,0,0,1,0,0,154,1,0.000395,2.8727176309985225
state_change_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,state_change_task,test_task1,C0_no_precheck,gpt-4o-mini-2024-07-18,Reference Success,Success,1.0,True,0,0,0,0,1,0,0,144,1,2.22e-05,4.506931143994734
state_change_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,state_change_task,test_task1,C1_llm_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,0,0,0,0,1,0,0,144,1,0.00037,3.0143602329990244
state_change_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18,state_change_task,test_task1,C1_llm_precheck,gpt-4o-mini-2024-07-18,Reference Success,Success,1.0,True,0,0,0,0,1,0,0,144,1,2.22e-05,2.501207253000757
state_change_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06,state_change_task,test_task1,C2_symbolic_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,0,0,0,0,1,0,0,144,1,0.00037,2.616042820001894
state_change_task_test_task1_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,state_change_task,test_task1,C2_symbolic_precheck,gpt-4o-mini-2024-07-18,Reference Success,Success,1.0,True,0,0,0,0,1,0,0,144,1,2.22e-05,3.652290380996419
state_change_task_test_task1_reference_reference,state_change_task,test_task1,reference,reference,Reference Success,Reference Success,1,True,0,0,0,0,0,0,0,0,0,0,2.319083722002688
state_change_task_test_task6_C0_no_precheck_gpt-4o-2024-08-06,state_change_task,test_task6,C0_no_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,4,3,3,0,7,0,0,1890,39,0.005115,12.812564906998887
state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,state_change_task,test_task6,C0_no_precheck,gpt-4o-mini-2024-07-18,Reference Success,Erroneous Terminate,0.0,False,4,4,4,0,9,0,0,2484,51,0.0004032,13.859596720001718
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,state_change_task,test_task6,C1_llm_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,4,5,5,0,18,0,0,4692,90,0.01263,24.06724899799883
state_change_task_test_task6_C1_llm_precheck_gpt-4o-mini-2024-07-18,state_change_task,test_task6,C1_llm_precheck,gpt-4o-mini-2024-07-18,Reference Success,Success,1.0,True,4,5,5,0,18,0,0,4692,90,0.0007578,23.055246837000595
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-2024-08-06,state_change_task,test_task6,C2_symbolic_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,4,5,5,0,12,0,0,3675,75,0.0099375,18.858342111998354
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,state_change_task,test_task6,C2_symbolic_precheck,gpt-4o-mini-2024-07-18,Reference Success,Erroneous Terminate,0.0,False,4,3,3,0,7,0,0,1873,38,0.00030375,12.030912083006115
state_change_task_test_task6_reference_reference,state_change_task,test_task6,reference,reference,Reference Success,Reference Success,1,True,4,4,4,0,0,0,0,0,0,0,7.254277651998564
