run_id,step,model,arm,gold_complete,ended,response,correct,strict_format
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,5,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,6,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C0_no_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,C0_no_precheck,False,False,Continue,True,True
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,1,gpt-4o-mini-2024-07-18,C0_no_precheck,False,False,Continue,True,True
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,2,gpt-4o-mini-2024-07-18,C0_no_precheck,False,False,Continue,True,True
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,3,gpt-4o-mini-2024-07-18,C0_no_precheck,False,False,Continue,True,True
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,4,gpt-4o-mini-2024-07-18,C0_no_precheck,False,False,Continue,True,True
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,5,gpt-4o-mini-2024-07-18,C0_no_precheck,False,False,Continue,True,True
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,6,gpt-4o-mini-2024-07-18,C0_no_precheck,False,False,Continue,True,True
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,7,gpt-4o-mini-2024-07-18,C0_no_precheck,False,False,Continue,True,True
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,8,gpt-4o-mini-2024-07-18,C0_no_precheck,False,False,Continue,True,True
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,9,gpt-4o-mini-2024-07-18,C0_no_precheck,True,True,End,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,C1_llm_precheck,False,False,Continue,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,1,gpt-4o-mini-2024-07-18,C1_llm_precheck,False,False,Continue,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,2,gpt-4o-mini-2024-07-18,C1_llm_precheck,False,False,Continue,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,3,gpt-4o-mini-2024-07-18,C1_llm_precheck,False,False,Continue,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,4,gpt-4o-mini-2024-07-18,C1_llm_precheck,False,False,Continue,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,5,gpt-4o-mini-2024-07-18,C1_llm_precheck,False,False,Continue,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,6,gpt-4o-mini-2024-07-18,C1_llm_precheck,False,False,Continue,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,7,gpt-4o-mini-2024-07-18,C1_llm_precheck,False,False,Continue,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,8,gpt-4o-mini-2024-07-18,C1_llm_precheck,True,True,End,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,2,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,3,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,4,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,5,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,6,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,7,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,8,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,9,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,10,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,11,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,12,gpt-4o-2024-08-06,C2_symbolic_precheck,True,True,End,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,1,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,2,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,3,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,4,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,5,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,6,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,7,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,8,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,9,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,False,Continue,True,True
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,10,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,True,True,End,True,True
state_change_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,C0_no_precheck,True,True,End,True,True
state_change_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,1,gpt-4o-mini-2024-07-18,C0_no_precheck,True,True,End,True,True
state_change_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,C1_llm_precheck,True,True,End,True,True
state_change_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18,1,gpt-4o-mini-2024-07-18,C1_llm_precheck,True,True,End,True,True
state_change_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,C2_symbolic_precheck,True,True,End,True,True
state_change_task_test_task1_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,1,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,True,True,End,True,True
state_change_task_test_task6_C0_no_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,C0_no_precheck,False,False,Continue,True,True
state_change_task_test_task6_C0_no_precheck_gpt-4o-2024-08-06,2,gpt-4o-2024-08-06,C0_no_precheck,False,False,Continue,True,True
state_change_task_test_task6_C0_no_precheck_gpt-4o-2024-08-06,3,gpt-4o-2024-08-06,C0_no_precheck,False,False,Continue,True,True
state_change_task_test_task6_C0_no_precheck_gpt-4o-2024-08-06,4,gpt-4o-2024-08-06,C0_no_precheck,True,True,End,True,True
state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,1,gpt-4o-mini-2024-07-18,C0_no_precheck,False,False,Continue,True,True
state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,2,gpt-4o-mini-2024-07-18,C0_no_precheck,False,False,Continue,True,True
state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,3,gpt-4o-mini-2024-07-18,C0_no_precheck,False,False,Continue,True,True
state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,4,gpt-4o-mini-2024-07-18,C0_no_precheck,False,False,Continue,True,True
state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,5,gpt-4o-mini-2024-07-18,C0_no_precheck,False,True,End,False,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,C1_llm_precheck,False,False,Continue,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,2,gpt-4o-2024-08-06,C1_llm_precheck,False,False,Continue,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,3,gpt-4o-2024-08-06,C1_llm_precheck,False,False,Continue,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,4,gpt-4o-2024-08-06,C1_llm_precheck,False,False,Continue,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,5,gpt-4o-2024-08-06,C1_llm_precheck,False,False,Continue,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,6,gpt-4o-2024-08-06,C1_llm_precheck,True,True,End,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-mini-2024-07-18,1,gpt-4o-mini-2024-07-18,C1_llm_precheck,False,False,Continue,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-mini-2024-07-18,2,gpt-4o-mini-2024-07-18,C1_llm_precheck,False,False,Continue,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-mini-2024-07-18,3,gpt-4o-mini-2024-07-18,C1_llm_precheck,False,False,Continue,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-mini-2024-07-18,4,gpt-4o-mini-2024-07-18,C1_llm_precheck,False,False,Continue,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-mini-2024-07-18,5,gpt-4o-mini-2024-07-18,C1_llm_precheck,False,False,Continue,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-mini-2024-07-18,6,gpt-4o-mini-2024-07-18,C1_llm_precheck,True,True,End,True,True
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-2024-08-06,2,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-2024-08-06,3,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-2024-08-06,4,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-2024-08-06,5,gpt-4o-2024-08-06,C2_symbolic_precheck,False,False,Continue,True,True
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-2024-08-06,6,gpt-4o-2024-08-06,C2_symbolic_precheck,True,True,End,True,True
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,1,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,False,Continue,True,True
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,2,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,False,Continue,True,True
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,3,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,False,Continue,True,True
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,4,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,False,True,End,False,True
