task_type,prompt,model,task_id,task_name,without_outcome,with_outcome,success_delta,without_length,with_length
state_change_task,single-prompt,gpt-4o-mini,test_task81,Turn off all computers,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task82,Turn off all computers,Reaching Maximum Attempts,Reaching Maximum Attempts,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task83,Turn off all computers,Reaching Maximum Attempts,Success,1,4,2
state_change_task,single-prompt,gpt-4o-mini,test_task84,Turn off all computers,Reaching Maximum Attempts,Reaching Maximum Attempts,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task85,Turn off all tablelamps,Erroneous Terminate,Success,1,1,4
state_change_task,single-prompt,gpt-4o-mini,test_task86,Turn off all tablelamps,Erroneous Terminate,Erroneous Terminate,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task87,Turn off all tablelamps,Erroneous Terminate,Erroneous Terminate,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task88,Turn off all tablelamps,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task89,Turn on all lightswitches,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task90,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task91,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task92,Turn on all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task93,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task94,Turn on all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task95,Turn on all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task96,Turn on all lightswitches,Success,Success,0,5,6
state_change_task,single-prompt,gpt-4o-mini,test_task97,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task98,Turn on all lightswitches,Erroneous Terminate,Erroneous Terminate,0,2,4
state_change_task,single-prompt,gpt-4o-mini,test_task99,Turn on all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task100,Turn on all lightswitches,Erroneous Terminate,Success,1,4,6
state_change_task,single-prompt,gpt-4o-mini,test_task101,Turn on all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task102,Turn on all lightswitches,Success,Success,0,7,6
state_change_task,single-prompt,gpt-4o-mini,test_task103,Turn on all lightswitches,Success,Success,0,6,6
state_change_task,single-prompt,gpt-4o-mini,test_task104,Turn on all lightswitches,Erroneous Terminate,Success,1,6,10
state_change_task,single-prompt,gpt-4o-mini,test_task105,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task106,Turn on all lightswitches,Erroneous Terminate,Erroneous Terminate,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task107,Turn on all lightswitches,Success,Success,0,5,5
state_change_task,single-prompt,gpt-4o-mini,test_task108,Turn on all lightswitches,Erroneous Terminate,Success,1,6,7
state_change_task,single-prompt,gpt-4o-mini,test_task109,Turn on all lightswitches,Success,Success,0,6,5
state_change_task,single-prompt,gpt-4o-mini,test_task110,Turn on all lightswitches,Success,Success,0,8,7
state_change_task,single-prompt,gpt-4o-mini,test_task111,Turn on all lightswitches,Success,Success,0,7,7
state_change_task,single-prompt,gpt-4o-mini,test_task112,Turn on all lightswitches,Success,Reaching Maximum Attempts,-1,10,16
state_change_task,single-prompt,gpt-4o-mini,test_task113,Turn on all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task114,Turn on all lightswitches,Erroneous Terminate,Erroneous Terminate,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task115,Turn on all lightswitches,Success,Success,0,6,6
state_change_task,single-prompt,gpt-4o-mini,test_task116,Turn on all lightswitches,Success,Success,0,8,10
state_change_task,single-prompt,gpt-4o-mini,test_task117,Turn on all lightswitches,Success,Success,0,5,6
state_change_task,single-prompt,gpt-4o-mini,test_task118,Turn on all lightswitches,Success,Success,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task119,Turn on all lightswitches,Success,Success,0,8,7
state_change_task,single-prompt,gpt-4o-mini,test_task120,Turn on all lightswitches,Success,Success,0,9,9
state_change_task,single-prompt,gpt-4o-mini,test_task121,Turn off all lightswitches,Reaching Maximum Attempts,Erroneous Terminate,0,20,0
state_change_task,single-prompt,gpt-4o-mini,test_task122,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,16,16
state_change_task,single-prompt,gpt-4o-mini,test_task123,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,16,16
state_change_task,single-prompt,gpt-4o-mini,test_task124,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,12,12
state_change_task,single-prompt,gpt-4o-mini,test_task125,Turn off all lightswitches,Success,Reaching Maximum Attempts,-1,8,16
state_change_task,single-prompt,gpt-4o-mini,test_task126,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,12,12
state_change_task,single-prompt,gpt-4o-mini,test_task127,Turn off all lightswitches,Success,Success,0,8,11
state_change_task,single-prompt,gpt-4o-mini,test_task128,Turn off all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task129,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,16,11
state_change_task,single-prompt,gpt-4o-mini,test_task130,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,12,12
state_change_task,single-prompt,gpt-4o-mini,test_task131,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,12,12
state_change_task,single-prompt,gpt-4o-mini,test_task132,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task133,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,12,12
state_change_task,single-prompt,gpt-4o-mini,test_task134,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,8,6
state_change_task,single-prompt,gpt-4o-mini,test_task135,Turn off all lightswitches,Success,Reaching Maximum Attempts,-1,6,8
state_change_task,single-prompt,gpt-4o-mini,test_task136,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task137,Turn off all lightswitches,Success,Reaching Maximum Attempts,-1,14,16
state_change_task,single-prompt,gpt-4o-mini,test_task138,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,12,12
state_change_task,single-prompt,gpt-4o-mini,test_task139,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,12,12
state_change_task,single-prompt,gpt-4o-mini,test_task140,Turn off all lightswitches,Success,Reaching Maximum Attempts,-1,4,8
state_change_task,single-prompt,gpt-4o-mini,test_task141,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,12,12
state_change_task,single-prompt,gpt-4o-mini,test_task142,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task143,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task144,Turn off all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task145,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,12,12
state_change_task,single-prompt,gpt-4o-mini,test_task146,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task147,Turn off all lightswitches,Success,Reaching Maximum Attempts,-1,7,8
state_change_task,single-prompt,gpt-4o-mini,test_task148,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task149,Turn off all lightswitches,Success,Reaching Maximum Attempts,-1,7,8
state_change_task,single-prompt,gpt-4o-mini,test_task150,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task151,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task152,Turn off all lightswitches,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task153,Turn off all tablelamps,Erroneous Terminate,Erroneous Terminate,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task154,Turn off all tablelamps,Execution Failure,Execution Failure,0,5,1
state_change_task,single-prompt,gpt-4o-mini,test_task155,Turn off all tablelamps,Erroneous Terminate,Erroneous Terminate,0,2,3
state_change_task,single-prompt,gpt-4o-mini,test_task156,Turn off all tablelamps,Success,Execution Failure,-1,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task157,Turn off all tablelamps,Erroneous Terminate,Erroneous Terminate,0,3,3
state_change_task,single-prompt,gpt-4o-mini,test_task158,Turn off all tablelamps,Erroneous Terminate,Erroneous Terminate,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task159,Turn off all tablelamps,Erroneous Terminate,Erroneous Terminate,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task160,Turn off all tablelamps,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task161,Turn on all lightswitches,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task162,Turn on all lightswitches,Erroneous Terminate,Success,1,0,2
state_change_task,single-prompt,gpt-4o-mini,test_task163,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task164,Turn on all lightswitches,Success,Erroneous Terminate,-1,4,2
state_change_task,single-prompt,gpt-4o-mini,test_task165,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task166,Turn on all lightswitches,Erroneous Terminate,Erroneous Terminate,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task167,Turn on all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task168,Turn on all lightswitches,Erroneous Terminate,Success,1,4,5
state_change_task,single-prompt,gpt-4o-mini,test_task169,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task170,Turn on all lightswitches,Success,Success,0,6,6
state_change_task,single-prompt,gpt-4o-mini,test_task171,Turn on all lightswitches,Success,Success,0,5,5
state_change_task,single-prompt,gpt-4o-mini,test_task172,Turn on all lightswitches,Erroneous Terminate,Success,1,6,6
state_change_task,single-prompt,gpt-4o-mini,test_task173,Turn on all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task174,Turn on all lightswitches,Success,Success,0,8,7
state_change_task,single-prompt,gpt-4o-mini,test_task175,Turn on all lightswitches,Success,Success,0,6,6
state_change_task,single-prompt,gpt-4o-mini,test_task176,Turn on all lightswitches,Erroneous Terminate,Erroneous Terminate,0,6,7
state_change_task,single-prompt,gpt-4o-mini,test_task177,Turn off all lightswitches,Erroneous Terminate,Erroneous Terminate,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task178,Turn off all lightswitches,Success,Success,0,5,5
state_change_task,single-prompt,gpt-4o-mini,test_task179,Turn off all lightswitches,Success,Reaching Maximum Attempts,-1,8,12
state_change_task,single-prompt,gpt-4o-mini,test_task180,Turn off all lightswitches,Success,Success,0,3,3
state_change_task,single-prompt,gpt-4o-mini,test_task181,Turn off all lightswitches,Success,Success,0,8,6
state_change_task,single-prompt,gpt-4o-mini,test_task182,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,8,5
state_change_task,single-prompt,gpt-4o-mini,test_task183,Turn off all lightswitches,Success,Success,0,7,4
state_change_task,single-prompt,gpt-4o-mini,test_task184,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task185,Turn off all lightswitches,Success,Success,0,7,5
state_change_task,single-prompt,gpt-4o-mini,test_task186,Turn off all lightswitches,Success,Success,0,5,3
state_change_task,single-prompt,gpt-4o-mini,test_task187,Turn off all lightswitches,Success,Success,0,7,4
state_change_task,single-prompt,gpt-4o-mini,test_task188,Turn off all lightswitches,Success,Reaching Maximum Attempts,-1,2,4
state_change_task,single-prompt,gpt-4o-mini,test_task189,Turn off all lightswitches,Success,Success,0,3,4
state_change_task,single-prompt,gpt-4o-mini,test_task190,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,4,2
state_change_task,single-prompt,gpt-4o-mini,test_task191,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task192,Turn off all lightswitches,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task193,Turn on all lightswitches,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task194,Turn on all lightswitches,Success,Success,0,2,1
state_change_task,single-prompt,gpt-4o-mini,test_task195,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task196,Turn on all lightswitches,Erroneous Terminate,Erroneous Terminate,0,3,3
state_change_task,single-prompt,gpt-4o-mini,test_task197,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task198,Turn on all lightswitches,Erroneous Terminate,Erroneous Terminate,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task199,Turn on all lightswitches,Success,Execution Failure,-1,4,0
state_change_task,single-prompt,gpt-4o-mini,test_task200,Turn on all lightswitches,Success,Success,0,5,6
state_change_task,single-prompt,gpt-4o-mini,test_task201,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task202,Turn on all lightswitches,Success,Erroneous Terminate,-1,3,2
state_change_task,single-prompt,gpt-4o-mini,test_task203,Turn on all lightswitches,Success,Success,0,7,4
state_change_task,single-prompt,gpt-4o-mini,test_task204,Turn on all lightswitches,Success,Reaching Maximum Attempts,-1,8,12
state_change_task,single-prompt,gpt-4o-mini,test_task205,Turn on all lightswitches,Success,Success,0,4,3
state_change_task,single-prompt,gpt-4o-mini,test_task206,Turn on all lightswitches,Success,Success,0,8,7
state_change_task,single-prompt,gpt-4o-mini,test_task207,Turn on all lightswitches,Success,Success,0,5,9
state_change_task,single-prompt,gpt-4o-mini,test_task208,Turn on all lightswitches,Success,Success,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task209,Turn on all tvs,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task210,Turn on all tvs,Erroneous Terminate,Success,1,0,2
state_change_task,single-prompt,gpt-4o-mini,test_task211,Turn on all tvs,Success,Erroneous Terminate,-1,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task212,Turn on all tvs,Erroneous Terminate,Erroneous Terminate,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task213,Turn off all tablelamps,Success,Success,0,3,4
state_change_task,single-prompt,gpt-4o-mini,test_task214,Turn off all tablelamps,Reaching Maximum Attempts,Execution Failure,0,4,2
state_change_task,single-prompt,gpt-4o-mini,test_task215,Turn off all tablelamps,Success,Success,0,2,3
state_change_task,single-prompt,gpt-4o-mini,test_task216,Turn off all tablelamps,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task217,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,16,16
state_change_task,single-prompt,gpt-4o-mini,test_task218,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,12,12
state_change_task,single-prompt,gpt-4o-mini,test_task219,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,12,12
state_change_task,single-prompt,gpt-4o-mini,test_task220,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task221,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,12,12
state_change_task,single-prompt,gpt-4o-mini,test_task222,Turn off all lightswitches,Success,Success,0,5,4
state_change_task,single-prompt,gpt-4o-mini,test_task223,Turn off all lightswitches,Reaching Maximum Attempts,Execution Failure,0,8,0
state_change_task,single-prompt,gpt-4o-mini,test_task224,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task225,Turn off all lightswitches,Success,Success,0,6,6
state_change_task,single-prompt,gpt-4o-mini,test_task226,Turn off all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task227,Turn off all lightswitches,Success,Success,0,6,4
state_change_task,single-prompt,gpt-4o-mini,test_task228,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task229,Turn off all lightswitches,Success,Success,0,6,3
state_change_task,single-prompt,gpt-4o-mini,test_task230,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,4,3
state_change_task,single-prompt,gpt-4o-mini,test_task231,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,4,3
state_change_task,single-prompt,gpt-4o-mini,test_task232,Turn off all lightswitches,Success,Reaching Maximum Attempts,-1,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task233,Turn off all tvs,Reaching Maximum Attempts,Reaching Maximum Attempts,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task234,Turn off all tvs,Reaching Maximum Attempts,Reaching Maximum Attempts,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task235,Turn off all tvs,Success,Reaching Maximum Attempts,-1,2,4
state_change_task,single-prompt,gpt-4o-mini,test_task236,Turn off all tvs,Reaching Maximum Attempts,Reaching Maximum Attempts,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task237,Turn on all lightswitches,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task238,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task239,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task240,Turn on all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task241,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task242,Turn on all lightswitches,Erroneous Terminate,Erroneous Terminate,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task243,Turn on all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task244,Turn on all lightswitches,Erroneous Terminate,Erroneous Terminate,0,6,5
