task_type,split,dimension,value,n,task_names,scenes
state_change_task,all,task_name,Turn on all tablelamps,20,1,"[1, 2, 3, 5]"
state_change_task,all,task_name,Turn on all tvs,12,1,"[1, 5, 6]"
state_change_task,all,object,candles,20,1,"[1, 2, 3, 7]"
state_change_task,all,object,cellphones,44,1,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,all,object,computers,24,2,"[1, 2, 7]"
state_change_task,all,object,faucets,56,2,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,all,object,lightswitches,256,2,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,all,object,tablelamps,40,2,"[1, 2, 3, 5]"
state_change_task,all,object,tvs,24,2,"[1, 5, 6]"
state_change_task,all,operation,off,264,7,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,all,operation,on,200,5,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,all,destination,,464,12,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,all,scene,1,84,12,[1]
state_change_task,all,scene,2,68,10,[2]
state_change_task,all,scene,3,100,8,[3]
state_change_task,all,scene,4,44,5,[4]
state_change_task,all,scene,5,60,9,[5]
state_change_task,all,scene,6,52,7,[6]
state_change_task,all,scene,7,56,8,[7]
state_change_task,all,initial_room,bathroom,103,12,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,all,initial_room,bedroom,124,12,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,all,initial_room,kitchen,121,12,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,all,initial_room,livingroom,116,12,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,test,task_name,Put all alcohols in the microwave,2,1,[7]
placement_task,test,task_name,Put all alcohols on the kitchentable,1,1,[7]
placement_task,test,task_name,Put all apples on the kitchencounter,1,1,[1]
placement_task,test,task_name,Put all bananas in the fridge,6,1,"[1, 3, 5]"
placement_task,test,task_name,Put all bananas in the microwave,6,1,"[1, 3, 5]"
placement_task,test,task_name,Put all bananas on the coffeetable,1,1,[3]
placement_task,test,task_name,Put all bananas on the desk,1,1,[5]
placement_task,test,task_name,Put all bananas on the kitchencounter,1,1,[1]
placement_task,test,task_name,Put all bananas on the oventray,1,1,[3]
placement_task,test,task_name,Put all bellpeppers in the fridge,2,1,[1]
placement_task,test,task_name,Put all bellpeppers on the kitchencounter,1,1,[1]
placement_task,test,task_name,Put all bellpeppers on the kitchentable,1,1,[1]
placement_task,test,task_name,Put all chips in the microwave,4,1,"[2, 7]"
placement_task,test,task_name,Put all chips on the kitchentable,3,1,"[1, 2, 7]"
placement_task,test,task_name,Put all crackers in the fridge,2,1,[4]
placement_task,test,task_name,Put all crackers in the microwave,2,1,[4]
placement_task,test,task_name,Put all crackers on the kitchentable,1,1,[4]
placement_task,test,task_name,Put all creamybuns in the fridge,2,1,[2]
placement_task,test,task_name,Put all creamybuns in the microwave,4,1,"[2, 7]"
placement_task,test,task_name,Put all creamybuns on the kitchentable,2,1,"[2, 7]"
placement_task,test,task_name,Put all cupcakes in the microwave,10,1,"[1, 3, 4, 5, 7]"
placement_task,test,task_name,Put all cupcakes on the coffeetable,2,1,"[3, 4]"
placement_task,test,task_name,Put all cupcakes on the desk,1,1,[5]
placement_task,test,task_name,Put all cupcakes on the kitchencounter,1,1,[1]
placement_task,test,task_name,Put all juices in the fridge,2,1,[3]
placement_task,test,task_name,Put all milks in the microwave,4,1,"[3, 6]"
placement_task,test,task_name,Put all milks on the coffeetable,1,1,[3]
placement_task,test,task_name,Put all milks on the cuttingboard,1,1,[6]
placement_task,test,task_name,Put all milks on the desk,1,1,[6]
placement_task,test,task_name,Put all milks on the kitchencounter,1,1,[6]
placement_task,test,task_name,Put all peaches in the fridge,6,1,"[1, 2, 4]"
placement_task,test,task_name,Put all peaches in the microwave,8,1,"[1, 2, 4, 7]"
placement_task,test,task_name,Put all peaches on the kitchencounter,1,1,[1]
placement_task,test,task_name,Put all peaches on the kitchentable,4,1,"[1, 2, 4, 7]"
placement_task,test,task_name,Put all plums in the fridge,6,1,"[1, 2, 4]"
placement_task,test,task_name,Put all plums in the fryingpan,1,1,[4]
placement_task,test,task_name,Put all plums in the microwave,8,1,"[1, 2, 4, 7]"
placement_task,test,task_name,Put all plums on the kitchencounter,1,1,[1]
placement_task,test,object,alcohols,3,2,[7]
placement_task,test,object,apples,1,1,[1]
placement_task,test,object,bananas,16,6,"[1, 3, 5]"
placement_task,test,object,bellpeppers,4,3,[1]
placement_task,test,object,chips,7,2,"[1, 2, 7]"
placement_task,test,object,crackers,5,3,[4]
placement_task,test,object,creamybuns,8,3,"[2, 7]"
placement_task,test,object,cupcakes,14,4,"[1, 3, 4, 5, 7]"
placement_task,test,object,juices,2,1,[3]
placement_task,test,object,milks,8,5,"[3, 6]"
placement_task,test,object,peaches,19,4,"[1, 2, 4, 7]"
placement_task,test,object,plums,16,4,"[1, 2, 4, 7]"
placement_task,test,operation,in,75,17,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,test,operation,on,28,21,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,test,destination,coffeetable,4,3,"[3, 4]"
placement_task,test,destination,cuttingboard,1,1,[6]
placement_task,test,destination,desk,3,3,"[5, 6]"
placement_task,test,destination,fridge,26,7,"[1, 2, 3, 4, 5]"
placement_task,test,destination,fryingpan,1,1,[4]
placement_task,test,destination,kitchencounter,7,7,"[1, 6]"
placement_task,test,destination,kitchentable,12,6,"[1, 2, 4, 7]"
placement_task,test,destination,microwave,48,9,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,test,destination,oventray,1,1,[3]
placement_task,test,scene,1,25,17,[1]
placement_task,test,scene,2,17,10,[2]
placement_task,test,scene,3,14,9,[3]
placement_task,test,scene,4,18,11,[4]
placement_task,test,scene,5,8,5,[5]
placement_task,test,scene,6,5,4,[6]
placement_task,test,scene,7,16,10,[7]
placement_task,test,initial_room,bathroom,26,18,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,test,initial_room,bedroom,24,15,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,test,initial_room,kitchen,29,22,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,test,initial_room,livingroom,24,14,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,example,task_name,Put all apples in the fridge,4,1,"[1, 2]"
placement_task,example,task_name,Put all apples in the microwave,4,1,"[1, 2]"
placement_task,example,task_name,Put all apples on the kitchentable,3,1,"[1, 2, 7]"
placement_task,example,task_name,Put all bananas on the kitchentable,2,1,"[1, 5]"
placement_task,example,task_name,Put all bellpeppers in the microwave,2,1,[1]
placement_task,example,task_name,Put all chips in the fridge,6,1,"[1, 2, 4]"
placement_task,example,task_name,Put all chips on the coffeetable,1,1,[4]
placement_task,example,task_name,Put all crackers on the coffeetable,1,1,[4]
placement_task,example,task_name,Put all cupcakes in the fridge,8,1,"[1, 3, 4, 5]"
placement_task,example,task_name,Put all cupcakes on the kitchentable,4,1,"[1, 4, 5, 7]"
placement_task,example,task_name,Put all juices in the microwave,2,1,[3]
placement_task,example,task_name,Put all juices on the coffeetable,1,1,[3]
placement_task,example,task_name,Put all milks in the fridge,4,1,"[3, 6]"
placement_task,example,task_name,Put all milks on the kitchentable,1,1,[6]
placement_task,example,task_name,Put all peaches on the coffeetable,1,1,[4]
placement_task,example,task_name,Put all peaches on the oventray,1,1,[4]
placement_task,example,task_name,Put all plums on the coffeetable,1,1,[4]
placement_task,example,task_name,Put all plums on the kitchentable,4,1,"[1, 2, 4, 7]"
placement_task,example,task_name,Put all plums on the oventray,1,1,[4]
placement_task,example,object,apples,11,3,"[1, 2, 7]"
placement_task,example,object,bananas,2,1,"[1, 5]"
placement_task,example,object,bellpeppers,2,1,[1]
placement_task,example,object,chips,7,2,"[1, 2, 4]"
placement_task,example,object,crackers,1,1,[4]
placement_task,example,object,cupcakes,12,2,"[1, 3, 4, 5, 7]"
placement_task,example,object,juices,3,2,[3]
placement_task,example,object,milks,5,2,"[3, 6]"
placement_task,example,object,peaches,2,2,[4]
placement_task,example,object,plums,6,3,"[1, 2, 4, 7]"
placement_task,example,operation,in,30,7,"[1, 2, 3, 4, 5, 6]"
placement_task,example,operation,on,21,12,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,example,destination,coffeetable,5,5,"[3, 4]"
placement_task,example,destination,fridge,22,4,"[1, 2, 3, 4, 5, 6]"
placement_task,example,destination,kitchentable,14,5,"[1, 2, 4, 5, 6, 7]"
placement_task,example,destination,microwave,8,3,"[1, 2, 3]"
placement_task,example,destination,oventray,2,2,[4]
placement_task,example,scene,1,14,9,[1]
placement_task,example,scene,2,8,5,[2]
placement_task,example,scene,3,7,4,[3]
placement_task,example,scene,4,12,10,[4]
placement_task,example,scene,5,4,3,[5]
placement_task,example,scene,6,3,2,[6]
placement_task,example,scene,7,3,3,[7]
placement_task,example,initial_room,bathroom,8,8,"[1, 2, 4, 5, 6]"
placement_task,example,initial_room,bedroom,13,11,"[1, 2, 3, 4, 5]"
placement_task,example,initial_room,kitchen,17,12,"[1, 2, 3, 4, 6, 7]"
placement_task,example,initial_room,livingroom,13,8,"[1, 2, 3, 4, 5, 7]"
placement_task,all,task_name,Put all alcohols in the microwave,2,1,[7]
placement_task,all,task_name,Put all alcohols on the kitchentable,1,1,[7]
placement_task,all,task_name,Put all apples in the fridge,4,1,"[1, 2]"
placement_task,all,task_name,Put all apples in the microwave,4,1,"[1, 2]"
placement_task,all,task_name,Put all apples on the kitchencounter,1,1,[1]
placement_task,all,task_name,Put all apples on the kitchentable,3,1,"[1, 2, 7]"
placement_task,all,task_name,Put all bananas in the fridge,6,1,"[1, 3, 5]"
placement_task,all,task_name,Put all bananas in the microwave,6,1,"[1, 3, 5]"
placement_task,all,task_name,Put all bananas on the coffeetable,1,1,[3]
placement_task,all,task_name,Put all bananas on the desk,1,1,[5]
placement_task,all,task_name,Put all bananas on the kitchencounter,1,1,[1]
placement_task,all,task_name,Put all bananas on the kitchentable,2,1,"[1, 5]"
placement_task,all,task_name,Put all bananas on the oventray,1,1,[3]
placement_task,all,task_name,Put all bellpeppers in the fridge,2,1,[1]
placement_task,all,task_name,Put all bellpeppers in the microwave,2,1,[1]
placement_task,all,task_name,Put all bellpeppers on the kitchencounter,1,1,[1]
placement_task,all,task_name,Put all bellpeppers on the kitchentable,1,1,[1]
placement_task,all,task_name,Put all chips in the fridge,6,1,"[1, 2, 4]"
placement_task,all,task_name,Put all chips in the microwave,4,1,"[2, 7]"
placement_task,all,task_name,Put all chips on the coffeetable,1,1,[4]
placement_task,all,task_name,Put all chips on the kitchentable,3,1,"[1, 2, 7]"
placement_task,all,task_name,Put all crackers in the fridge,2,1,[4]
placement_task,all,task_name,Put all crackers in the microwave,2,1,[4]
placement_task,all,task_name,Put all crackers on the coffeetable,1,1,[4]
placement_task,all,task_name,Put all crackers on the kitchentable,1,1,[4]
placement_task,all,task_name,Put all creamybuns in the fridge,2,1,[2]
placement_task,all,task_name,Put all creamybuns in the microwave,4,1,"[2, 7]"
placement_task,all,task_name,Put all creamybuns on the kitchentable,2,1,"[2, 7]"
placement_task,all,task_name,Put all cupcakes in the fridge,8,1,"[1, 3, 4, 5]"
placement_task,all,task_name,Put all cupcakes in the microwave,10,1,"[1, 3, 4, 5, 7]"
placement_task,all,task_name,Put all cupcakes on the coffeetable,2,1,"[3, 4]"
placement_task,all,task_name,Put all cupcakes on the desk,1,1,[5]
placement_task,all,task_name,Put all cupcakes on the kitchencounter,1,1,[1]
placement_task,all,task_name,Put all cupcakes on the kitchentable,4,1,"[1, 4, 5, 7]"
placement_task,all,task_name,Put all juices in the fridge,2,1,[3]
placement_task,all,task_name,Put all juices in the microwave,2,1,[3]
placement_task,all,task_name,Put all juices on the coffeetable,1,1,[3]
placement_task,all,task_name,Put all milks in the fridge,4,1,"[3, 6]"
placement_task,all,task_name,Put all milks in the microwave,4,1,"[3, 6]"
placement_task,all,task_name,Put all milks on the coffeetable,1,1,[3]
placement_task,all,task_name,Put all milks on the cuttingboard,1,1,[6]
placement_task,all,task_name,Put all milks on the desk,1,1,[6]
placement_task,all,task_name,Put all milks on the kitchencounter,1,1,[6]
placement_task,all,task_name,Put all milks on the kitchentable,1,1,[6]
placement_task,all,task_name,Put all peaches in the fridge,6,1,"[1, 2, 4]"
placement_task,all,task_name,Put all peaches in the microwave,8,1,"[1, 2, 4, 7]"
placement_task,all,task_name,Put all peaches on the coffeetable,1,1,[4]
placement_task,all,task_name,Put all peaches on the kitchencounter,1,1,[1]
placement_task,all,task_name,Put all peaches on the kitchentable,4,1,"[1, 2, 4, 7]"
placement_task,all,task_name,Put all peaches on the oventray,1,1,[4]
placement_task,all,task_name,Put all plums in the fridge,6,1,"[1, 2, 4]"
placement_task,all,task_name,Put all plums in the fryingpan,1,1,[4]
placement_task,all,task_name,Put all plums in the microwave,8,1,"[1, 2, 4, 7]"
placement_task,all,task_name,Put all plums on the coffeetable,1,1,[4]
placement_task,all,task_name,Put all plums on the kitchencounter,1,1,[1]
placement_task,all,task_name,Put all plums on the kitchentable,4,1,"[1, 2, 4, 7]"
placement_task,all,task_name,Put all plums on the oventray,1,1,[4]
placement_task,all,object,alcohols,3,2,[7]
placement_task,all,object,apples,12,4,"[1, 2, 7]"
placement_task,all,object,bananas,18,7,"[1, 3, 5]"
placement_task,all,object,bellpeppers,6,4,[1]
placement_task,all,object,chips,14,4,"[1, 2, 4, 7]"
placement_task,all,object,crackers,6,4,[4]
placement_task,all,object,creamybuns,8,3,"[2, 7]"
placement_task,all,object,cupcakes,26,6,"[1, 3, 4, 5, 7]"
placement_task,all,object,juices,5,3,[3]
placement_task,all,object,milks,13,7,"[3, 6]"
placement_task,all,object,peaches,21,6,"[1, 2, 4, 7]"
placement_task,all,object,plums,22,7,"[1, 2, 4, 7]"
placement_task,all,operation,in,105,24,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,all,operation,on,49,33,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,all,destination,coffeetable,9,8,"[3, 4]"
placement_task,all,destination,cuttingboard,1,1,[6]
placement_task,all,destination,desk,3,3,"[5, 6]"
placement_task,all,destination,fridge,48,11,"[1, 2, 3, 4, 5, 6]"
placement_task,all,destination,fryingpan,1,1,[4]
placement_task,all,destination,kitchencounter,7,7,"[1, 6]"
placement_task,all,destination,kitchentable,26,11,"[1, 2, 4, 5, 6, 7]"
placement_task,all,destination,microwave,56,12,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,all,destination,oventray,3,3,"[3, 4]"
placement_task,all,scene,1,39,26,[1]
placement_task,all,scene,2,25,15,[2]
placement_task,all,scene,3,21,13,[3]
placement_task,all,scene,4,30,21,[4]
placement_task,all,scene,5,12,8,[5]
placement_task,all,scene,6,8,6,[6]
placement_task,all,scene,7,19,13,[7]
placement_task,all,initial_room,bathroom,34,26,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,all,initial_room,bedroom,37,26,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,all,initial_room,kitchen,46,34,"[1, 2, 3, 4, 5, 6, 7]"
placement_task,all,initial_room,livingroom,37,22,"[1, 2, 3, 4, 5, 6, 7]"
