task_type,test_task_name,selected_example_name,selected_example_id,cosine,runner_up_name,runner_up_cosine,top2_margin,exact_tie_n,near_tie_1e6_n,example_length,example_scene,example_initial_room,example_initial_states,example_actions,same_object,same_operation,same_destination,historical_selection_verified,task_id,test_scene,test_initial_room,test_initial_states,test_reference_length,test_reference_actions
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task11,1,bedroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]",4,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)""]"
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task12,1,bathroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",6,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]"
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task13,1,bathroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)""]"
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task14,1,bathroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]",6,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]"
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task15,1,bathroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]",6,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)""]"
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task16,1,bedroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",8,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]"
state_change_task,Turn on all tvs,Turn on all computers,example_task12,0.6019070744514465,Turn on all faucets,0.48697182536125183,0.1149352490901947,1,1,4,1,livingroom,"[{""id"": 174, ""states"": [""OFF""]}, {""id"": 433, ""states"": [""OFF""]}]","[""[WALK] <computer> (174)"", ""[SWITCHON] <computer> (174)"", ""[WALK] <computer> (433)"", ""[SWITCHON] <computer> (433)""]",False,True,True,False,test_task17,1,bathroom,"[{""id"": 264, ""states"": [""ON""]}, {""id"": 426, ""states"": [""ON""]}]",0,[]
state_change_task,Turn on all tvs,Turn on all computers,example_task12,0.6019070744514465,Turn on all faucets,0.48697182536125183,0.1149352490901947,1,1,4,1,livingroom,"[{""id"": 174, ""states"": [""OFF""]}, {""id"": 433, ""states"": [""OFF""]}]","[""[WALK] <computer> (174)"", ""[SWITCHON] <computer> (174)"", ""[WALK] <computer> (433)"", ""[SWITCHON] <computer> (433)""]",False,True,True,False,test_task18,1,bedroom,"[{""id"": 264, ""states"": [""ON""]}, {""id"": 426, ""states"": [""OFF""]}]",2,"[""[WALK] <tv> (426)"", ""[SWITCHON] <tv> (426)""]"
state_change_task,Turn on all tvs,Turn on all computers,example_task12,0.6019070744514465,Turn on all faucets,0.48697182536125183,0.1149352490901947,1,1,4,1,livingroom,"[{""id"": 174, ""states"": [""OFF""]}, {""id"": 433, ""states"": [""OFF""]}]","[""[WALK] <computer> (174)"", ""[SWITCHON] <computer> (174)"", ""[WALK] <computer> (433)"", ""[SWITCHON] <computer> (433)""]",False,True,True,False,test_task19,1,kitchen,"[{""id"": 264, ""states"": [""OFF""]}, {""id"": 426, ""states"": [""ON""]}]",2,"[""[WALK] <tv> (264)"", ""[SWITCHON] <tv> (264)""]"
state_change_task,Turn on all tvs,Turn on all computers,example_task12,0.6019070744514465,Turn on all faucets,0.48697182536125183,0.1149352490901947,1,1,4,1,livingroom,"[{""id"": 174, ""states"": [""OFF""]}, {""id"": 433, ""states"": [""OFF""]}]","[""[WALK] <computer> (174)"", ""[SWITCHON] <computer> (174)"", ""[WALK] <computer> (433)"", ""[SWITCHON] <computer> (433)""]",False,True,True,False,test_task20,1,kitchen,"[{""id"": 264, ""states"": [""OFF""]}, {""id"": 426, ""states"": [""OFF""]}]",4,"[""[WALK] <tv> (264)"", ""[SWITCHON] <tv> (264)"", ""[WALK] <tv> (426)"", ""[SWITCHON] <tv> (426)""]"
state_change_task,Turn off all lightswitches,Turn off all candles,example_task81,0.5849753618240356,Turn on all tablelamps,0.5638211965560913,0.021154165267944336,1,1,6,3,kitchen,"[{""id"": 124, ""states"": [""ON""]}, {""id"": 216, ""states"": [""ON""]}, {""id"": 314, ""states"": [""ON""]}]","[""[WALK] <candle> (124)"", ""[SWITCHOFF] <candle> (124)"", ""[WALK] <candle> (216)"", ""[SWITCHOFF] <candle> (216)"", ""[WALK] <candle> (314)"", ""[SWITCHOFF] <candle> (314)""]",False,True,True,False,test_task21,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",8,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHOFF] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHOFF] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHOFF] <lightswitch> (427)""]"
state_change_task,Turn off all lightswitches,Turn off all candles,example_task81,0.5849753618240356,Turn on all tablelamps,0.5638211965560913,0.021154165267944336,1,1,6,3,kitchen,"[{""id"": 124, ""states"": [""ON""]}, {""id"": 216, ""states"": [""ON""]}, {""id"": 314, ""states"": [""ON""]}]","[""[WALK] <candle> (124)"", ""[SWITCHOFF] <candle> (124)"", ""[WALK] <candle> (216)"", ""[SWITCHOFF] <candle> (216)"", ""[WALK] <candle> (314)"", ""[SWITCHOFF] <candle> (314)""]",False,True,True,False,test_task22,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]",6,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHOFF] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHOFF] <lightswitch> (261)""]"
state_change_task,Turn off all lightswitches,Turn off all candles,example_task81,0.5849753618240356,Turn on all tablelamps,0.5638211965560913,0.021154165267944336,1,1,6,3,kitchen,"[{""id"": 124, ""states"": [""ON""]}, {""id"": 216, ""states"": [""ON""]}, {""id"": 314, ""states"": [""ON""]}]","[""[WALK] <candle> (124)"", ""[SWITCHOFF] <candle> (124)"", ""[WALK] <candle> (216)"", ""[SWITCHOFF] <candle> (216)"", ""[WALK] <candle> (314)"", ""[SWITCHOFF] <candle> (314)""]",False,True,True,False,test_task23,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]",6,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHOFF] <lightswitch> (173)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHOFF] <lightswitch> (427)""]"
state_change_task,Turn off all lightswitches,Turn off all candles,example_task81,0.5849753618240356,Turn on all tablelamps,0.5638211965560913,0.021154165267944336,1,1,6,3,kitchen,"[{""id"": 124, ""states"": [""ON""]}, {""id"": 216, ""states"": [""ON""]}, {""id"": 314, ""states"": [""ON""]}]","[""[WALK] <candle> (124)"", ""[SWITCHOFF] <candle> (124)"", ""[WALK] <candle> (216)"", ""[SWITCHOFF] <candle> (216)"", ""[WALK] <candle> (314)"", ""[SWITCHOFF] <candle> (314)""]",False,True,True,False,test_task24,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",4,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHOFF] <lightswitch> (173)""]"
state_change_task,Turn off all lightswitches,Turn off all candles,example_task81,0.5849753618240356,Turn on all tablelamps,0.5638211965560913,0.021154165267944336,1,1,6,3,kitchen,"[{""id"": 124, ""states"": [""ON""]}, {""id"": 216, ""states"": [""ON""]}, {""id"": 314, ""states"": [""ON""]}]","[""[WALK] <candle> (124)"", ""[SWITCHOFF] <candle> (124)"", ""[WALK] <candle> (216)"", ""[SWITCHOFF] <candle> (216)"", ""[WALK] <candle> (314)"", ""[SWITCHOFF] <candle> (314)""]",False,True,True,False,test_task25,1,bathroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",6,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHOFF] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHOFF] <lightswitch> (427)""]"
state_change_task,Turn off all lightswitches,Turn off all candles,example_task81,0.5849753618240356,Turn on all tablelamps,0.5638211965560913,0.021154165267944336,1,1,6,3,kitchen,"[{""id"": 124, ""states"": [""ON""]}, {""id"": 216, ""states"": [""ON""]}, {""id"": 314, ""states"": [""ON""]}]","[""[WALK] <candle> (124)"", ""[SWITCHOFF] <candle> (124)"", ""[WALK] <candle> (216)"", ""[SWITCHOFF] <candle> (216)"", ""[WALK] <candle> (314)"", ""[SWITCHOFF] <candle> (314)""]",False,True,True,False,test_task26,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]",4,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHOFF] <lightswitch> (261)""]"
state_change_task,Turn off all lightswitches,Turn off all candles,example_task81,0.5849753618240356,Turn on all tablelamps,0.5638211965560913,0.021154165267944336,1,1,6,3,kitchen,"[{""id"": 124, ""states"": [""ON""]}, {""id"": 216, ""states"": [""ON""]}, {""id"": 314, ""states"": [""ON""]}]","[""[WALK] <candle> (124)"", ""[SWITCHOFF] <candle> (124)"", ""[WALK] <candle> (216)"", ""[SWITCHOFF] <candle> (216)"", ""[WALK] <candle> (314)"", ""[SWITCHOFF] <candle> (314)""]",False,True,True,False,test_task27,1,kitchen,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]",4,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHOFF] <lightswitch> (427)""]"
state_change_task,Turn off all lightswitches,Turn off all candles,example_task81,0.5849753618240356,Turn on all tablelamps,0.5638211965560913,0.021154165267944336,1,1,6,3,kitchen,"[{""id"": 124, ""states"": [""ON""]}, {""id"": 216, ""states"": [""ON""]}, {""id"": 314, ""states"": [""ON""]}]","[""[WALK] <candle> (124)"", ""[SWITCHOFF] <candle> (124)"", ""[WALK] <candle> (216)"", ""[SWITCHOFF] <candle> (216)"", ""[WALK] <candle> (314)"", ""[SWITCHOFF] <candle> (314)""]",False,True,True,False,test_task28,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",2,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)""]"
state_change_task,Turn off all lightswitches,Turn off all candles,example_task81,0.5849753618240356,Turn on all tablelamps,0.5638211965560913,0.021154165267944336,1,1,6,3,kitchen,"[{""id"": 124, ""states"": [""ON""]}, {""id"": 216, ""states"": [""ON""]}, {""id"": 314, ""states"": [""ON""]}]","[""[WALK] <candle> (124)"", ""[SWITCHOFF] <candle> (124)"", ""[WALK] <candle> (216)"", ""[SWITCHOFF] <candle> (216)"", ""[WALK] <candle> (314)"", ""[SWITCHOFF] <candle> (314)""]",False,True,True,False,test_task29,1,livingroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",6,"[""[WALK] <lightswitch> (173)"", ""[SWITCHOFF] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHOFF] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHOFF] <lightswitch> (427)""]"
state_change_task,Turn off all lightswitches,Turn off all candles,example_task81,0.5849753618240356,Turn on all tablelamps,0.5638211965560913,0.021154165267944336,1,1,6,3,kitchen,"[{""id"": 124, ""states"": [""ON""]}, {""id"": 216, ""states"": [""ON""]}, {""id"": 314, ""states"": [""ON""]}]","[""[WALK] <candle> (124)"", ""[SWITCHOFF] <candle> (124)"", ""[WALK] <candle> (216)"", ""[SWITCHOFF] <candle> (216)"", ""[WALK] <candle> (314)"", ""[SWITCHOFF] <candle> (314)""]",False,True,True,False,test_task30,1,bedroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]",4,"[""[WALK] <lightswitch> (173)"", ""[SWITCHOFF] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHOFF] <lightswitch> (261)""]"
