task_type,split,template,object,operation,destination,scene,initial_room,initial_states_json,n,task_ids,reference_n,reference_mean,reference_median,reference_q1,reference_q3,reference_min,reference_max,reference_sd_sample,reference_iqr
state_change_task,test,Turn {state} all {object},computers,off,,7,livingroom,"[{""id"": 274, ""states"": [""ON""]}, {""id"": 324, ""states"": [""ON""]}]",1,"[""test_task309""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,bathroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]",1,"[""test_task35""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,bathroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",1,"[""test_task25""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,bedroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]",1,"[""test_task34""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,bedroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]",1,"[""test_task31""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,bedroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]",1,"[""test_task30""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,kitchen,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",1,"[""test_task33""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,kitchen,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]",1,"[""test_task27""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,livingroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",1,"[""test_task36""]",1,0,0.0,0.0,0.0,0,0,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,livingroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",1,"[""test_task32""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,livingroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",1,"[""test_task29""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",1,"[""test_task28""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]",1,"[""test_task26""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",1,"[""test_task24""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]",1,"[""test_task23""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]",1,"[""test_task22""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",1,"[""test_task21""]",1,8,8.0,8.0,8.0,8,8,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,bathroom,"[{""id"": 48, ""states"": [""OFF""]}, {""id"": 97, ""states"": [""OFF""]}, {""id"": 157, ""states"": [""OFF""]}, {""id"": 302, ""states"": [""ON""]}]",1,"[""test_task79""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,bathroom,"[{""id"": 48, ""states"": [""OFF""]}, {""id"": 97, ""states"": [""ON""]}, {""id"": 157, ""states"": [""OFF""]}, {""id"": 302, ""states"": [""OFF""]}]",1,"[""test_task76""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,bathroom,"[{""id"": 48, ""states"": [""OFF""]}, {""id"": 97, ""states"": [""ON""]}, {""id"": 157, ""states"": [""ON""]}, {""id"": 302, ""states"": [""OFF""]}]",1,"[""test_task74""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,bathroom,"[{""id"": 48, ""states"": [""ON""]}, {""id"": 97, ""states"": [""OFF""]}, {""id"": 157, ""states"": [""OFF""]}, {""id"": 302, ""states"": [""OFF""]}]",1,"[""test_task72""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,bathroom,"[{""id"": 48, ""states"": [""ON""]}, {""id"": 97, ""states"": [""OFF""]}, {""id"": 157, ""states"": [""OFF""]}, {""id"": 302, ""states"": [""ON""]}]",1,"[""test_task71""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,bedroom,"[{""id"": 48, ""states"": [""OFF""]}, {""id"": 97, ""states"": [""OFF""]}, {""id"": 157, ""states"": [""OFF""]}, {""id"": 302, ""states"": [""OFF""]}]",1,"[""test_task80""]",1,0,0.0,0.0,0.0,0,0,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,bedroom,"[{""id"": 48, ""states"": [""OFF""]}, {""id"": 97, ""states"": [""OFF""]}, {""id"": 157, ""states"": [""ON""]}, {""id"": 302, ""states"": [""OFF""]}]",1,"[""test_task78""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,bedroom,"[{""id"": 48, ""states"": [""ON""]}, {""id"": 97, ""states"": [""OFF""]}, {""id"": 157, ""states"": [""ON""]}, {""id"": 302, ""states"": [""ON""]}]",1,"[""test_task69""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,bedroom,"[{""id"": 48, ""states"": [""ON""]}, {""id"": 97, ""states"": [""ON""]}, {""id"": 157, ""states"": [""OFF""]}, {""id"": 302, ""states"": [""OFF""]}]",1,"[""test_task68""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,bedroom,"[{""id"": 48, ""states"": [""ON""]}, {""id"": 97, ""states"": [""ON""]}, {""id"": 157, ""states"": [""OFF""]}, {""id"": 302, ""states"": [""ON""]}]",1,"[""test_task67""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,kitchen,"[{""id"": 48, ""states"": [""OFF""]}, {""id"": 97, ""states"": [""ON""]}, {""id"": 157, ""states"": [""OFF""]}, {""id"": 302, ""states"": [""ON""]}]",1,"[""test_task75""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,kitchen,"[{""id"": 48, ""states"": [""OFF""]}, {""id"": 97, ""states"": [""ON""]}, {""id"": 157, ""states"": [""ON""]}, {""id"": 302, ""states"": [""ON""]}]",1,"[""test_task73""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,livingroom,"[{""id"": 48, ""states"": [""OFF""]}, {""id"": 97, ""states"": [""OFF""]}, {""id"": 157, ""states"": [""ON""]}, {""id"": 302, ""states"": [""ON""]}]",1,"[""test_task77""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,livingroom,"[{""id"": 48, ""states"": [""ON""]}, {""id"": 97, ""states"": [""OFF""]}, {""id"": 157, ""states"": [""ON""]}, {""id"": 302, ""states"": [""OFF""]}]",1,"[""test_task70""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,livingroom,"[{""id"": 48, ""states"": [""ON""]}, {""id"": 97, ""states"": [""ON""]}, {""id"": 157, ""states"": [""ON""]}, {""id"": 302, ""states"": [""OFF""]}]",1,"[""test_task66""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,2,livingroom,"[{""id"": 48, ""states"": [""ON""]}, {""id"": 97, ""states"": [""ON""]}, {""id"": 157, ""states"": [""ON""]}, {""id"": 302, ""states"": [""ON""]}]",1,"[""test_task65""]",1,8,8.0,8.0,8.0,8,8,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bathroom,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task146""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bathroom,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task143""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bathroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task133""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bathroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task132""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bathroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task131""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bathroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task130""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bathroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task128""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bathroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task127""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bathroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task125""]",1,8,8.0,8.0,8.0,8,8,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bathroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task124""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bathroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task122""]",1,8,8.0,8.0,8.0,8,8,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bedroom,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task149""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bedroom,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task148""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bedroom,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task142""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bedroom,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task140""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bedroom,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task137""]",1,8,8.0,8.0,8.0,8,8,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bedroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task135""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,bedroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task134""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,kitchen,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task150""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,kitchen,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task147""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,kitchen,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task144""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,kitchen,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task139""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,kitchen,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task123""]",1,8,8.0,8.0,8.0,8,8,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,kitchen,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task121""]",1,10,10.0,10.0,10.0,10,10,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,livingroom,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task152""]",1,0,0.0,0.0,0.0,0,0,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,livingroom,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task151""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,livingroom,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task145""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,livingroom,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task141""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,livingroom,"[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task138""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,livingroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task136""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,livingroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""ON""]}]",1,"[""test_task129""]",1,8,8.0,8.0,8.0,8,8,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,3,livingroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""OFF""]}]",1,"[""test_task126""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,4,bathroom,"[{""id"": 169, ""states"": [""OFF""]}, {""id"": 209, ""states"": [""OFF""]}, {""id"": 218, ""states"": [""OFF""]}, {""id"": 300, ""states"": [""ON""]}]",1,"[""test_task191""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,4,bathroom,"[{""id"": 169, ""states"": [""OFF""]}, {""id"": 209, ""states"": [""ON""]}, {""id"": 218, ""states"": [""ON""]}, {""id"": 300, ""states"": [""OFF""]}]",1,"[""test_task186""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,4,bathroom,"[{""id"": 169, ""states"": [""OFF""]}, {""id"": 209, ""states"": [""ON""]}, {""id"": 218, ""states"": [""ON""]}, {""id"": 300, ""states"": [""ON""]}]",1,"[""test_task185""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,4,bathroom,"[{""id"": 169, ""states"": [""ON""]}, {""id"": 209, ""states"": [""OFF""]}, {""id"": 218, ""states"": [""ON""]}, {""id"": 300, ""states"": [""ON""]}]",1,"[""test_task181""]",1,6,6.0,6.0,6.0,6,6,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,4,bedroom,"[{""id"": 169, ""states"": [""OFF""]}, {""id"": 209, ""states"": [""OFF""]}, {""id"": 218, ""states"": [""ON""]}, {""id"": 300, ""states"": [""ON""]}]",1,"[""test_task189""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,4,bedroom,"[{""id"": 169, ""states"": [""OFF""]}, {""id"": 209, ""states"": [""ON""]}, {""id"": 218, ""states"": [""OFF""]}, {""id"": 300, ""states"": [""OFF""]}]",1,"[""test_task188""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,4,kitchen,"[{""id"": 169, ""states"": [""OFF""]}, {""id"": 209, ""states"": [""ON""]}, {""id"": 218, ""states"": [""OFF""]}, {""id"": 300, ""states"": [""ON""]}]",1,"[""test_task187""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,4,kitchen,"[{""id"": 169, ""states"": [""ON""]}, {""id"": 209, ""states"": [""OFF""]}, {""id"": 218, ""states"": [""OFF""]}, {""id"": 300, ""states"": [""ON""]}]",1,"[""test_task183""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},lightswitches,off,,4,kitchen,"[{""id"": 169, ""states"": [""ON""]}, {""id"": 209, ""states"": [""ON""]}, {""id"": 218, ""states"": [""OFF""]}, {""id"": 300, ""states"": [""OFF""]}]",1,"[""test_task180""]",1,4,4.0,4.0,4.0,4,4,,0.0
