task_type,test_task_name,selected_example_name,selected_example_id,cosine,runner_up_name,runner_up_cosine,top2_margin,exact_tie_n,near_tie_1e6_n,example_length,example_scene,example_initial_room,example_initial_states,example_actions,same_object,same_operation,same_destination,historical_selection_verified
placement_task,Put all bananas in the microwave,Put all bananas on the kitchentable,example_task2,0.8097575902938843,Put all apples in the microwave,0.7071243524551392,0.10263323783874512,1,1,12,1,bedroom,[],"[""[WALK] <bananas> (315)"", ""[GRAB] <bananas> (315)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (315) <kitchentable> (231)"", ""[WALK] <bananas> (316)"", ""[GRAB] <bananas> (316)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (316) <kitchentable> (231)"", ""[WALK] <bananas> (439)"", ""[GRAB] <bananas> (439)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (439) <kitchentable> (231)""]",True,False,False,False
placement_task,Put all bananas on the coffeetable,Put all bananas on the kitchentable,example_task2,0.8887988328933716,Put all peaches on the coffeetable,0.7282416224479675,0.16055721044540405,1,1,12,1,bedroom,[],"[""[WALK] <bananas> (315)"", ""[GRAB] <bananas> (315)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (315) <kitchentable> (231)"", ""[WALK] <bananas> (316)"", ""[GRAB] <bananas> (316)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (316) <kitchentable> (231)"", ""[WALK] <bananas> (439)"", ""[GRAB] <bananas> (439)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (439) <kitchentable> (231)""]",True,True,False,False
placement_task,Put all bananas on the desk,Put all bananas on the kitchentable,example_task2,0.7828474044799805,Put all apples on the kitchentable,0.5276978015899658,0.25514960289001465,1,1,12,1,bedroom,[],"[""[WALK] <bananas> (315)"", ""[GRAB] <bananas> (315)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (315) <kitchentable> (231)"", ""[WALK] <bananas> (316)"", ""[GRAB] <bananas> (316)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (316) <kitchentable> (231)"", ""[WALK] <bananas> (439)"", ""[GRAB] <bananas> (439)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (439) <kitchentable> (231)""]",True,True,False,False
placement_task,Put all bananas on the kitchencounter,Put all bananas on the kitchentable,example_task2,0.8634896874427795,Put all apples on the kitchentable,0.5777876377105713,0.28570204973220825,1,1,12,1,bedroom,[],"[""[WALK] <bananas> (315)"", ""[GRAB] <bananas> (315)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (315) <kitchentable> (231)"", ""[WALK] <bananas> (316)"", ""[GRAB] <bananas> (316)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (316) <kitchentable> (231)"", ""[WALK] <bananas> (439)"", ""[GRAB] <bananas> (439)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (439) <kitchentable> (231)""]",True,True,False,False
placement_task,Put all bananas on the oventray,Put all bananas on the kitchentable,example_task2,0.772074282169342,Put all peaches on the oventray,0.7534902095794678,0.018584072589874268,1,1,12,1,bedroom,[],"[""[WALK] <bananas> (315)"", ""[GRAB] <bananas> (315)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (315) <kitchentable> (231)"", ""[WALK] <bananas> (316)"", ""[GRAB] <bananas> (316)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (316) <kitchentable> (231)"", ""[WALK] <bananas> (439)"", ""[GRAB] <bananas> (439)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (439) <kitchentable> (231)""]",True,True,False,False
placement_task,Put all bellpeppers in the fridge,Put all bellpeppers in the microwave,example_task8,0.7915724515914917,Put all chips in the fridge,0.5910040140151978,0.20056843757629395,1,1,25,1,kitchen,"[{""id"": 313, ""states"": [""CLOSED"", ""OFF""]}]","[""[WALK] <bellpepper> (320)"", ""[GRAB] <bellpepper> (320)"", ""[WALK] <microwave> (313)"", ""[OPEN] <microwave> (313)"", ""[PUTIN] <bellpepper> (320) <microwave> (313)"", ""[WALK] <bellpepper> (321)"", ""[GRAB] <bellpepper> (321)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (321) <microwave> (313)"", ""[WALK] <bellpepper> (322)"", ""[GRAB] <bellpepper> (322)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (322) <microwave> (313)"", ""[WALK] <bellpepper> (323)"", ""[GRAB] <bellpepper> (323)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (323) <microwave> (313)"", ""[WALK] <bellpepper> (324)"", ""[GRAB] <bellpepper> (324)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (324) <microwave> (313)"", ""[WALK] <bellpepper> (325)"", ""[GRAB] <bellpepper> (325)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (325) <microwave> (313)""]",True,True,False,False
placement_task,Put all bellpeppers on the kitchencounter,Put all bellpeppers in the microwave,example_task8,0.6830224990844727,Put all plums on the kitchentable,0.5467667579650879,0.13625574111938477,1,1,25,1,kitchen,"[{""id"": 313, ""states"": [""CLOSED"", ""OFF""]}]","[""[WALK] <bellpepper> (320)"", ""[GRAB] <bellpepper> (320)"", ""[WALK] <microwave> (313)"", ""[OPEN] <microwave> (313)"", ""[PUTIN] <bellpepper> (320) <microwave> (313)"", ""[WALK] <bellpepper> (321)"", ""[GRAB] <bellpepper> (321)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (321) <microwave> (313)"", ""[WALK] <bellpepper> (322)"", ""[GRAB] <bellpepper> (322)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (322) <microwave> (313)"", ""[WALK] <bellpepper> (323)"", ""[GRAB] <bellpepper> (323)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (323) <microwave> (313)"", ""[WALK] <bellpepper> (324)"", ""[GRAB] <bellpepper> (324)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (324) <microwave> (313)"", ""[WALK] <bellpepper> (325)"", ""[GRAB] <bellpepper> (325)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (325) <microwave> (313)""]",True,False,False,False
placement_task,Put all bellpeppers on the kitchentable,Put all bellpeppers in the microwave,example_task8,0.7055910229682922,Put all cupcakes on the kitchentable,0.6688814163208008,0.036709606647491455,1,1,25,1,kitchen,"[{""id"": 313, ""states"": [""CLOSED"", ""OFF""]}]","[""[WALK] <bellpepper> (320)"", ""[GRAB] <bellpepper> (320)"", ""[WALK] <microwave> (313)"", ""[OPEN] <microwave> (313)"", ""[PUTIN] <bellpepper> (320) <microwave> (313)"", ""[WALK] <bellpepper> (321)"", ""[GRAB] <bellpepper> (321)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (321) <microwave> (313)"", ""[WALK] <bellpepper> (322)"", ""[GRAB] <bellpepper> (322)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (322) <microwave> (313)"", ""[WALK] <bellpepper> (323)"", ""[GRAB] <bellpepper> (323)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (323) <microwave> (313)"", ""[WALK] <bellpepper> (324)"", ""[GRAB] <bellpepper> (324)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (324) <microwave> (313)"", ""[WALK] <bellpepper> (325)"", ""[GRAB] <bellpepper> (325)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (325) <microwave> (313)""]",True,False,False,False
placement_task,Put all chips in the microwave,Put all chips in the fridge,example_task10,0.8086038827896118,Put all bellpeppers in the microwave,0.6759386658668518,0.13266521692276,1,1,9,1,kitchen,"[{""id"": 305, ""states"": [""CLOSED""]}]","[""[WALK] <chips> (328)"", ""[GRAB] <chips> (328)"", ""[WALK] <fridge> (305)"", ""[OPEN] <fridge> (305)"", ""[PUTIN] <chips> (328) <fridge> (305)"", ""[WALK] <chips> (329)"", ""[GRAB] <chips> (329)"", ""[WALK] <fridge> (305)"", ""[PUTIN] <chips> (329) <fridge> (305)""]",True,True,False,False
placement_task,Put all chips on the kitchentable,Put all chips on the coffeetable,example_task35,0.8499681353569031,Put all chips in the fridge,0.7245342135429382,0.12543392181396484,1,1,8,4,bedroom,[],"[""[WALK] <chips> (61)"", ""[GRAB] <chips> (61)"", ""[WALK] <coffeetable> (269)"", ""[PUT] <chips> (61) <coffeetable> (269)"", ""[WALK] <chips> (67)"", ""[GRAB] <chips> (67)"", ""[WALK] <coffeetable> (269)"", ""[PUT] <chips> (67) <coffeetable> (269)""]",True,True,False,False
placement_task,Put all crackers in the fridge,Put all crackers on the coffeetable,example_task36,0.6907979846000671,Put all chips in the fridge,0.6247973442077637,0.06600064039230347,1,1,8,4,bedroom,[],"[""[WALK] <crackers> (63)"", ""[GRAB] <crackers> (63)"", ""[WALK] <coffeetable> (269)"", ""[PUT] <crackers> (63) <coffeetable> (269)"", ""[WALK] <crackers> (66)"", ""[GRAB] <crackers> (66)"", ""[WALK] <coffeetable> (269)"", ""[PUT] <crackers> (66) <coffeetable> (269)""]",True,False,False,False
placement_task,Put all crackers in the microwave,Put all crackers on the coffeetable,example_task36,0.7075386047363281,Put all bellpeppers in the microwave,0.66508549451828,0.042453110218048096,1,1,8,4,bedroom,[],"[""[WALK] <crackers> (63)"", ""[GRAB] <crackers> (63)"", ""[WALK] <coffeetable> (269)"", ""[PUT] <crackers> (63) <coffeetable> (269)"", ""[WALK] <crackers> (66)"", ""[GRAB] <crackers> (66)"", ""[WALK] <coffeetable> (269)"", ""[PUT] <crackers> (66) <coffeetable> (269)""]",True,False,False,False
placement_task,Put all crackers on the kitchentable,Put all crackers on the coffeetable,example_task36,0.8729087710380554,Put all milks on the kitchentable,0.6387217044830322,0.2341870665550232,1,1,8,4,bedroom,[],"[""[WALK] <crackers> (63)"", ""[GRAB] <crackers> (63)"", ""[WALK] <coffeetable> (269)"", ""[PUT] <crackers> (63) <coffeetable> (269)"", ""[WALK] <crackers> (66)"", ""[GRAB] <crackers> (66)"", ""[WALK] <coffeetable> (269)"", ""[PUT] <crackers> (66) <coffeetable> (269)""]",True,True,False,False
placement_task,Put all creamybuns in the fridge,Put all milks in the fridge,example_task27,0.6745225191116333,Put all cupcakes in the fridge,0.563821017742157,0.11070150136947632,1,1,9,3,livingroom,"[{""id"": 162, ""states"": [""CLOSED""]}]","[""[WALK] <milk> (176)"", ""[GRAB] <milk> (176)"", ""[WALK] <fridge> (162)"", ""[OPEN] <fridge> (162)"", ""[PUTIN] <milk> (176) <fridge> (162)"", ""[WALK] <milk> (177)"", ""[GRAB] <milk> (177)"", ""[WALK] <fridge> (162)"", ""[PUTIN] <milk> (177) <fridge> (162)""]",False,True,True,False
placement_task,Put all creamybuns in the microwave,Put all bellpeppers in the microwave,example_task8,0.6402214765548706,Put all juices in the microwave,0.6308796405792236,0.009341835975646973,1,1,25,1,kitchen,"[{""id"": 313, ""states"": [""CLOSED"", ""OFF""]}]","[""[WALK] <bellpepper> (320)"", ""[GRAB] <bellpepper> (320)"", ""[WALK] <microwave> (313)"", ""[OPEN] <microwave> (313)"", ""[PUTIN] <bellpepper> (320) <microwave> (313)"", ""[WALK] <bellpepper> (321)"", ""[GRAB] <bellpepper> (321)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (321) <microwave> (313)"", ""[WALK] <bellpepper> (322)"", ""[GRAB] <bellpepper> (322)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (322) <microwave> (313)"", ""[WALK] <bellpepper> (323)"", ""[GRAB] <bellpepper> (323)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (323) <microwave> (313)"", ""[WALK] <bellpepper> (324)"", ""[GRAB] <bellpepper> (324)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (324) <microwave> (313)"", ""[WALK] <bellpepper> (325)"", ""[GRAB] <bellpepper> (325)"", ""[WALK] <microwave> (313)"", ""[PUTIN] <bellpepper> (325) <microwave> (313)""]",False,True,True,False
placement_task,Put all creamybuns on the kitchentable,Put all milks on the kitchentable,example_task46,0.7625018358230591,Put all cupcakes on the kitchentable,0.6637578010559082,0.09874403476715088,1,1,8,6,bathroom,[],"[""[WALK] <milk> (245)"", ""[GRAB] <milk> (245)"", ""[WALK] <kitchentable> (186)"", ""[PUT] <milk> (245) <kitchentable> (186)"", ""[WALK] <milk> (246)"", ""[GRAB] <milk> (246)"", ""[WALK] <kitchentable> (186)"", ""[PUT] <milk> (246) <kitchentable> (186)""]",False,True,True,False
placement_task,Put all cupcakes in the microwave,Put all cupcakes in the fridge,example_task29,0.8067172765731812,Put all cupcakes on the kitchentable,0.7639733552932739,0.04274392127990723,1,1,17,3,livingroom,"[{""id"": 162, ""states"": [""CLOSED""]}]","[""[WALK] <cupcake> (225)"", ""[GRAB] <cupcake> (225)"", ""[WALK] <fridge> (162)"", ""[OPEN] <fridge> (162)"", ""[PUTIN] <cupcake> (225) <fridge> (162)"", ""[WALK] <cupcake> (226)"", ""[GRAB] <cupcake> (226)"", ""[WALK] <fridge> (162)"", ""[PUTIN] <cupcake> (226) <fridge> (162)"", ""[WALK] <cupcake> (227)"", ""[GRAB] <cupcake> (227)"", ""[WALK] <fridge> (162)"", ""[PUTIN] <cupcake> (227) <fridge> (162)"", ""[WALK] <cupcake> (385)"", ""[GRAB] <cupcake> (385)"", ""[WALK] <fridge> (162)"", ""[PUTIN] <cupcake> (385) <fridge> (162)""]",True,True,False,False
placement_task,Put all cupcakes on the coffeetable,Put all cupcakes on the kitchentable,example_task1,0.9010488986968994,Put all cupcakes in the fridge,0.7292447090148926,0.17180418968200684,1,1,8,1,bedroom,[],"[""[WALK] <cupcake> (195)"", ""[GRAB] <cupcake> (195)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <cupcake> (195) <kitchentable> (231)"", ""[WALK] <cupcake> (196)"", ""[GRAB] <cupcake> (196)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <cupcake> (196) <kitchentable> (231)""]",True,True,False,False
placement_task,Put all cupcakes on the desk,Put all cupcakes on the kitchentable,example_task1,0.7782737016677856,Put all cupcakes in the fridge,0.7498782873153687,0.028395414352416992,1,1,8,1,bedroom,[],"[""[WALK] <cupcake> (195)"", ""[GRAB] <cupcake> (195)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <cupcake> (195) <kitchentable> (231)"", ""[WALK] <cupcake> (196)"", ""[GRAB] <cupcake> (196)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <cupcake> (196) <kitchentable> (231)""]",True,True,False,False
placement_task,Put all cupcakes on the kitchencounter,Put all cupcakes on the kitchentable,example_task1,0.8536933660507202,Put all cupcakes in the fridge,0.8047510981559753,0.04894226789474487,1,1,8,1,bedroom,[],"[""[WALK] <cupcake> (195)"", ""[GRAB] <cupcake> (195)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <cupcake> (195) <kitchentable> (231)"", ""[WALK] <cupcake> (196)"", ""[GRAB] <cupcake> (196)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <cupcake> (196) <kitchentable> (231)""]",True,True,False,False
placement_task,Put all juices in the fridge,Put all juices in the microwave,example_task25,0.7675208449363708,Put all juices on the coffeetable,0.677553653717041,0.08996719121932983,1,1,9,3,kitchen,"[{""id"": 171, ""states"": [""CLOSED"", ""OFF""]}]","[""[WALK] <juice> (173)"", ""[GRAB] <juice> (173)"", ""[WALK] <microwave> (171)"", ""[OPEN] <microwave> (171)"", ""[PUTIN] <juice> (173) <microwave> (171)"", ""[WALK] <juice> (174)"", ""[GRAB] <juice> (174)"", ""[WALK] <microwave> (171)"", ""[PUTIN] <juice> (174) <microwave> (171)""]",True,True,False,False
placement_task,Put all milks in the microwave,Put all milks in the fridge,example_task27,0.7915211915969849,Put all milks on the kitchentable,0.7534511089324951,0.038070082664489746,1,1,9,3,livingroom,"[{""id"": 162, ""states"": [""CLOSED""]}]","[""[WALK] <milk> (176)"", ""[GRAB] <milk> (176)"", ""[WALK] <fridge> (162)"", ""[OPEN] <fridge> (162)"", ""[PUTIN] <milk> (176) <fridge> (162)"", ""[WALK] <milk> (177)"", ""[GRAB] <milk> (177)"", ""[WALK] <fridge> (162)"", ""[PUTIN] <milk> (177) <fridge> (162)""]",True,True,False,False
placement_task,Put all milks on the coffeetable,Put all milks on the kitchentable,example_task46,0.8616828322410583,Put all juices on the coffeetable,0.7616146802902222,0.10006815195083618,1,1,8,6,bathroom,[],"[""[WALK] <milk> (245)"", ""[GRAB] <milk> (245)"", ""[WALK] <kitchentable> (186)"", ""[PUT] <milk> (245) <kitchentable> (186)"", ""[WALK] <milk> (246)"", ""[GRAB] <milk> (246)"", ""[WALK] <kitchentable> (186)"", ""[PUT] <milk> (246) <kitchentable> (186)""]",True,True,False,False
placement_task,Put all milks on the cuttingboard,Put all milks on the kitchentable,example_task46,0.7180633544921875,Put all milks in the fridge,0.6777494549751282,0.040313899517059326,1,1,8,6,bathroom,[],"[""[WALK] <milk> (245)"", ""[GRAB] <milk> (245)"", ""[WALK] <kitchentable> (186)"", ""[PUT] <milk> (245) <kitchentable> (186)"", ""[WALK] <milk> (246)"", ""[GRAB] <milk> (246)"", ""[WALK] <kitchentable> (186)"", ""[PUT] <milk> (246) <kitchentable> (186)""]",True,True,False,False
placement_task,Put all milks on the desk,Put all milks on the kitchentable,example_task46,0.718846321105957,Put all milks in the fridge,0.7066254019737244,0.012220919132232666,1,1,8,6,bathroom,[],"[""[WALK] <milk> (245)"", ""[GRAB] <milk> (245)"", ""[WALK] <kitchentable> (186)"", ""[PUT] <milk> (245) <kitchentable> (186)"", ""[WALK] <milk> (246)"", ""[GRAB] <milk> (246)"", ""[WALK] <kitchentable> (186)"", ""[PUT] <milk> (246) <kitchentable> (186)""]",True,True,False,False
placement_task,Put all milks on the kitchencounter,Put all milks on the kitchentable,example_task46,0.8339710235595703,Put all milks in the fridge,0.7572528123855591,0.07671821117401123,1,1,8,6,bathroom,[],"[""[WALK] <milk> (245)"", ""[GRAB] <milk> (245)"", ""[WALK] <kitchentable> (186)"", ""[PUT] <milk> (245) <kitchentable> (186)"", ""[WALK] <milk> (246)"", ""[GRAB] <milk> (246)"", ""[WALK] <kitchentable> (186)"", ""[PUT] <milk> (246) <kitchentable> (186)""]",True,True,False,False
placement_task,Put all peaches in the fridge,Put all peaches on the oventray,example_task30,0.7355716228485107,Put all peaches on the coffeetable,0.7055116891860962,0.03005993366241455,1,1,12,4,kitchen,[],"[""[WALK] <peach> (51)"", ""[GRAB] <peach> (51)"", ""[WALK] <oventray> (106)"", ""[PUT] <peach> (51) <oventray> (106)"", ""[WALK] <peach> (52)"", ""[GRAB] <peach> (52)"", ""[WALK] <oventray> (106)"", ""[PUT] <peach> (52) <oventray> (106)"", ""[WALK] <peach> (65)"", ""[GRAB] <peach> (65)"", ""[WALK] <oventray> (106)"", ""[PUT] <peach> (65) <oventray> (106)""]",True,False,False,False
placement_task,Put all peaches in the microwave,Put all peaches on the oventray,example_task30,0.8025043606758118,Put all apples in the microwave,0.7549737691879272,0.04753059148788452,1,1,12,4,kitchen,[],"[""[WALK] <peach> (51)"", ""[GRAB] <peach> (51)"", ""[WALK] <oventray> (106)"", ""[PUT] <peach> (51) <oventray> (106)"", ""[WALK] <peach> (52)"", ""[GRAB] <peach> (52)"", ""[WALK] <oventray> (106)"", ""[PUT] <peach> (52) <oventray> (106)"", ""[WALK] <peach> (65)"", ""[GRAB] <peach> (65)"", ""[WALK] <oventray> (106)"", ""[PUT] <peach> (65) <oventray> (106)""]",True,False,False,False
placement_task,Put all peaches on the kitchencounter,Put all peaches on the oventray,example_task30,0.8023979663848877,Put all peaches on the coffeetable,0.741974949836731,0.06042301654815674,1,1,12,4,kitchen,[],"[""[WALK] <peach> (51)"", ""[GRAB] <peach> (51)"", ""[WALK] <oventray> (106)"", ""[PUT] <peach> (51) <oventray> (106)"", ""[WALK] <peach> (52)"", ""[GRAB] <peach> (52)"", ""[WALK] <oventray> (106)"", ""[PUT] <peach> (52) <oventray> (106)"", ""[WALK] <peach> (65)"", ""[GRAB] <peach> (65)"", ""[WALK] <oventray> (106)"", ""[PUT] <peach> (65) <oventray> (106)""]",True,True,False,False
placement_task,Put all peaches on the kitchentable,Put all peaches on the coffeetable,example_task31,0.8913750648498535,Put all peaches on the oventray,0.7798365354537964,0.11153852939605713,1,1,12,4,bathroom,[],"[""[WALK] <peach> (51)"", ""[GRAB] <peach> (51)"", ""[WALK] <coffeetable> (269)"", ""[PUT] <peach> (51) <coffeetable> (269)"", ""[WALK] <peach> (52)"", ""[GRAB] <peach> (52)"", ""[WALK] <coffeetable> (269)"", ""[PUT] <peach> (52) <coffeetable> (269)"", ""[WALK] <peach> (65)"", ""[GRAB] <peach> (65)"", ""[WALK] <coffeetable> (269)"", ""[PUT] <peach> (65) <coffeetable> (269)""]",True,True,False,False
placement_task,Put all plums in the fridge,Put all plums on the kitchentable,example_task4,0.7605376243591309,Put all plums on the coffeetable,0.6626298427581787,0.09790778160095215,1,1,8,1,livingroom,[],"[""[WALK] <plum> (443)"", ""[GRAB] <plum> (443)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <plum> (443) <kitchentable> (231)"", ""[WALK] <plum> (444)"", ""[GRAB] <plum> (444)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <plum> (444) <kitchentable> (231)""]",True,False,False,False
