task_type,method,prompt,model_claimed,precheck,dimension,value,n,success_n,SR,mean_executed
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,task_name,Turn on all lightswitches,128,118,0.921875,4.4453125
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,task_name,Turn on all tvs,12,9,0.75,1.6666666666666667
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,task_name,Turn off all lightswitches,128,79,0.6171875,6.5546875
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,task_name,Turn off all tablelamps,20,11,0.55,2.55
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,task_name,Turn off all computers,12,9,0.75,1.9166666666666667
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,task_name,Turn off all tvs,12,8,0.6666666666666666,2.6666666666666665
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,scene,1,48,33,0.6875,3.875
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,scene,2,40,27,0.675,4.725
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,scene,3,72,53,0.7361111111111112,6.041666666666667
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,scene,4,32,28,0.875,4.625
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,scene,5,44,29,0.6590909090909091,4.909090909090909
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,scene,6,40,35,0.875,4.475
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,scene,7,36,29,0.8055555555555556,5.027777777777778
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,object,lightswitches,256,197,0.76953125,5.5
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,object,tvs,24,17,0.7083333333333334,2.1666666666666665
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,object,tablelamps,20,11,0.55,2.55
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,object,computers,12,9,0.75,1.9166666666666667
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,destination,,312,234,0.75,4.916666666666667
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,goal_count,4,192,148,0.7708333333333334,5.229166666666667
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,goal_count,2,48,33,0.6875,1.9791666666666667
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,goal_count,5,64,49,0.765625,6.3125
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,goal_count,3,8,4,0.5,3.875
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,required_state_changes,0,27,25,0.9259259259259259,0
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,required_state_changes,1,85,61,0.7176470588235294,2.2705882352941176
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,required_state_changes,2,107,84,0.7850467289719626,5.196261682242991
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,required_state_changes,3,69,49,0.7101449275362319,7.956521739130435
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,required_state_changes,4,22,14,0.6363636363636364,10.045454545454545
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,required_state_changes,5,2,1,0.5,7.5
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,reference_length,0,27,25,0.9259259259259259,0
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,reference_length,2,85,61,0.7176470588235294,2.2705882352941176
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,reference_length,4,107,84,0.7850467289719626,5.196261682242991
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,reference_length,6,69,49,0.7101449275362319,7.956521739130435
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,reference_length,8,22,14,0.6363636363636364,10.045454545454545
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,reference_length,10,2,1,0.5,7.5
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,task_name,Turn on all lightswitches,128,109,0.8515625,3.4921875
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,task_name,Turn on all tvs,12,9,0.75,1.4166666666666667
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,task_name,Turn off all lightswitches,128,128,1,4.0625
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,task_name,Turn off all tablelamps,20,9,0.45,1.4
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,task_name,Turn off all computers,12,12,1,2
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,task_name,Turn off all tvs,12,12,1,1.8333333333333333
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,scene,1,48,43,0.8958333333333334,2.8125
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,scene,2,40,36,0.9,3.25
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,scene,3,72,58,0.8055555555555556,4.166666666666667
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,scene,4,32,29,0.90625,3.46875
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,scene,5,44,41,0.9318181818181818,3.1363636363636362
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,scene,6,40,39,0.975,3.125
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,scene,7,36,33,0.9166666666666666,3.3055555555555554
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,object,lightswitches,256,237,0.92578125,3.77734375
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,object,tvs,24,21,0.875,1.625
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,object,tablelamps,20,9,0.45,1.4
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,object,computers,12,12,1,2
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,destination,,312,279,0.8942307692307693,3.391025641025641
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,goal_count,4,192,183,0.953125,3.5677083333333335
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,goal_count,2,48,38,0.7916666666666666,1.5208333333333333
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,goal_count,5,64,54,0.84375,4.40625
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,goal_count,3,8,4,0.5,2.25
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,required_state_changes,0,27,27,1,0
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,required_state_changes,1,85,75,0.8823529411764706,1.6705882352941177
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,required_state_changes,2,107,90,0.8411214953271028,3.411214953271028
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,required_state_changes,3,69,64,0.927536231884058,5.449275362318841
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,required_state_changes,4,22,21,0.9545454545454546,7.136363636363637
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,required_state_changes,5,2,2,1,9
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,reference_length,0,27,27,1,0
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,reference_length,2,85,75,0.8823529411764706,1.6705882352941177
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,reference_length,4,107,90,0.8411214953271028,3.411214953271028
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,reference_length,6,69,64,0.927536231884058,5.449275362318841
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,reference_length,8,22,21,0.9545454545454546,7.136363636363637
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,reference_length,10,2,2,1,9
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,task_name,Turn on all lightswitches,128,105,0.8203125,4.1953125
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,task_name,Turn on all tvs,12,8,0.6666666666666666,1.25
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,task_name,Turn off all lightswitches,128,58,0.453125,6.8515625
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,task_name,Turn off all tablelamps,20,7,0.35,1.45
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,task_name,Turn off all computers,12,5,0.4166666666666667,2.6666666666666665
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,task_name,Turn off all tvs,12,9,0.75,2.5
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,scene,1,48,30,0.625,4.1875
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,scene,2,40,24,0.6,4.35
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,scene,3,72,38,0.5277777777777778,6.444444444444445
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,scene,4,32,22,0.6875,4.25
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,scene,5,44,26,0.5909090909090909,4.568181818181818
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,scene,6,40,29,0.725,4.375
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,scene,7,36,23,0.6388888888888888,4.694444444444445
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,object,lightswitches,256,163,0.63671875,5.5234375
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,object,tvs,24,17,0.7083333333333334,1.875
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,object,tablelamps,20,7,0.35,1.45
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,object,computers,12,5,0.4166666666666667,2.6666666666666665
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,destination,,312,192,0.6153846153846154,4.871794871794871
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,goal_count,4,192,127,0.6614583333333334,5.03125
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,goal_count,2,48,27,0.5625,1.875
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,goal_count,5,64,36,0.5625,7
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,goal_count,3,8,2,0.25,2
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,required_state_changes,0,27,25,0.9259259259259259,0
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,required_state_changes,1,85,44,0.5176470588235295,2.447058823529412
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,required_state_changes,2,107,66,0.616822429906542,5
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,required_state_changes,3,69,41,0.5942028985507246,7.869565217391305
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,required_state_changes,4,22,15,0.6818181818181818,9.318181818181818
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,required_state_changes,5,2,1,0.5,14.5
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,reference_length,0,27,25,0.9259259259259259,0
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,reference_length,2,85,44,0.5176470588235295,2.447058823529412
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,reference_length,4,107,66,0.616822429906542,5
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,reference_length,6,69,41,0.5942028985507246,7.869565217391305
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,reference_length,8,22,15,0.6818181818181818,9.318181818181818
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,reference_length,10,2,1,0.5,14.5
state_change_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,task_name,Turn on all lightswitches,128,122,0.953125,3.7734375
state_change_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,task_name,Turn on all tvs,12,12,1,1.75
state_change_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,task_name,Turn off all lightswitches,128,72,0.5625,6.296875
state_change_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,task_name,Turn off all tablelamps,20,9,0.45,1.45
state_change_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,task_name,Turn off all computers,12,10,0.8333333333333334,2.25
state_change_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,task_name,Turn off all tvs,12,12,1,1.8333333333333333
state_change_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,scene,1,48,41,0.8541666666666666,3.5
state_change_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,scene,2,40,21,0.525,5.025
state_change_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,scene,3,72,54,0.75,5.472222222222222
state_change_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,scene,4,32,29,0.90625,3.84375
state_change_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,scene,5,44,39,0.8863636363636364,3.159090909090909
