model,arm,subset,repeat,n,successes,SR,final_goal_satisfied,mean_saved_actions_all,mean_saved_actions_success_only,success_nonzero_length_ratio_n,mean_success_nonzero_length_ratio,failed_executions,api_calls,input_tokens,output_tokens,estimated_usd,mean_seconds
gpt-4o-2024-08-06,C1_llm_precheck,reference_passed_only,1,3,3,1.0,3,4.666666666666667,4.666666666666667,2,1.125,0,47,13286,222,0.035435,20.002455026997875
gpt-4o-2024-08-06,C1_llm_precheck,reference_passed_only,2,3,3,1.0,3,4.666666666666667,4.666666666666667,2,1.125,0,49,14089,244,0.0376625,18.7056103386664
gpt-4o-2024-08-06,C2_symbolic_precheck,all_four_diagnostic,0,4,3,0.75,3,6.75,5.333333333333333,2,1.2361111111111112,1,64,24136,448,0.06482,22.462605390248427
gpt-4o-2024-08-06,C2_symbolic_precheck,all_four_diagnostic,1,4,4,1.0,4,6.25,6.25,3,1.1574074074074074,0,60,22648,480,0.06142,20.733853413999896
gpt-4o-2024-08-06,C2_symbolic_precheck,all_four_diagnostic,2,4,3,0.75,3,5.0,5.333333333333333,2,1.2361111111111112,1,51,19090,363,0.051355,16.78683471874865
gpt-4o-2024-08-06,C2_symbolic_precheck,reference_passed_only,0,3,3,1.0,3,5.333333333333333,5.333333333333333,2,1.2361111111111112,0,38,13654,256,0.036695,17.56396874366328
gpt-4o-2024-08-06,C2_symbolic_precheck,reference_passed_only,1,3,3,1.0,3,5.0,5.0,2,1.1111111111111112,0,36,13029,308,0.035652500000000004,16.12521259233472
gpt-4o-2024-08-06,C2_symbolic_precheck,reference_passed_only,2,3,3,1.0,3,5.333333333333333,5.333333333333333,2,1.2361111111111112,0,40,15054,283,0.040465,17.16066648766476
gpt-4o-2024-08-06,C3_execution_feedback,all_four_diagnostic,0,4,3,0.75,3,4.0,4.0,2,0.9444444444444444,3,39,13441,273,0.0363325,14.858280834750985
gpt-4o-2024-08-06,C3_execution_feedback,all_four_diagnostic,1,4,3,0.75,3,4.0,4.0,2,0.9444444444444444,3,39,13441,273,0.0363325,15.130168620249606
gpt-4o-2024-08-06,C3_execution_feedback,all_four_diagnostic,2,4,3,0.75,3,4.5,4.666666666666667,2,1.1944444444444444,3,43,14697,297,0.0397125,15.418089843500638
gpt-4o-2024-08-06,C3_execution_feedback,reference_passed_only,0,3,3,1.0,3,4.0,4.0,2,0.9444444444444444,0,27,8528,164,0.022959999999999998,13.709547694668194
gpt-4o-2024-08-06,C3_execution_feedback,reference_passed_only,1,3,3,1.0,3,4.0,4.0,2,0.9444444444444444,0,27,8528,164,0.022959999999999998,14.162675965332406
gpt-4o-2024-08-06,C3_execution_feedback,reference_passed_only,2,3,3,1.0,3,4.666666666666667,4.666666666666667,2,1.1944444444444444,0,31,9784,187,0.02633,14.821530957335199
gpt-4o-2024-08-06,C4_budgeted,all_four_diagnostic,0,4,4,1.0,4,4.25,4.25,3,0.8425925925925926,0,89,30224,1610,0.09166,26.560644384502666
gpt-4o-2024-08-06,C4_budgeted,all_four_diagnostic,1,4,3,0.75,3,3.5,3.6666666666666665,2,0.8888888888888888,1,78,26452,1473,0.08086,23.12792549625192
gpt-4o-2024-08-06,C4_budgeted,all_four_diagnostic,2,4,3,0.75,3,4.0,3.6666666666666665,2,0.8888888888888888,1,88,30008,1580,0.09082,24.117857090748657
gpt-4o-2024-08-06,C4_budgeted,reference_passed_only,0,3,3,1.0,3,3.6666666666666665,3.6666666666666665,2,0.8888888888888888,0,58,19448,1043,0.059050000000000005,22.815670581335628
gpt-4o-2024-08-06,C4_budgeted,reference_passed_only,1,3,3,1.0,3,3.6666666666666665,3.6666666666666665,2,0.8888888888888888,0,58,19484,1079,0.059500000000000004,22.74514366866788
gpt-4o-2024-08-06,C4_budgeted,reference_passed_only,2,3,3,1.0,3,3.6666666666666665,3.6666666666666665,2,0.8888888888888888,0,58,19394,989,0.058375,21.60548213199945
gpt-4o-2024-08-06,C5_full_graph,all_four_diagnostic,0,4,3,0.75,3,5.0,5.333333333333333,2,1.2361111111111112,1,51,19090,363,0.051355,17.76331878875135
gpt-4o-2024-08-06,C5_full_graph,all_four_diagnostic,1,4,3,0.75,3,4.75,5.0,2,1.1111111111111112,1,47,17065,324,0.0459025,16.83628784125176
gpt-4o-2024-08-06,C5_full_graph,all_four_diagnostic,2,4,3,0.75,3,5.0,5.333333333333333,2,1.2361111111111112,1,50,18274,348,0.049165,16.85828565425072
gpt-4o-2024-08-06,C5_full_graph,reference_passed_only,0,3,3,1.0,3,5.333333333333333,5.333333333333333,2,1.2361111111111112,0,40,15054,283,0.040465,17.43478562066836
gpt-4o-2024-08-06,C5_full_graph,reference_passed_only,1,3,3,1.0,3,5.0,5.0,2,1.1111111111111112,0,36,13029,244,0.0350125,17.182258709336264
gpt-4o-2024-08-06,C5_full_graph,reference_passed_only,2,3,3,1.0,3,5.333333333333333,5.333333333333333,2,1.2361111111111112,0,39,14238,268,0.038274999999999997,17.21182669166592
gpt-4o-2024-08-06,R_fixed,all_four_diagnostic,0,4,3,0.75,3,4.0,4.333333333333333,2,1.0694444444444444,1,62,27333,463,0.0729625,19.719027766750514
gpt-4o-2024-08-06,R_fixed,all_four_diagnostic,1,4,3,0.75,3,4.5,5.0,2,1.1805555555555556,1,70,32320,403,0.08483,20.24237702749815
gpt-4o-2024-08-06,R_fixed,all_four_diagnostic,2,4,3,0.75,3,4.25,4.666666666666667,2,1.125,1,63,27420,333,0.07188,18.236440620250505
gpt-4o-2024-08-06,R_fixed,reference_passed_only,0,3,3,1.0,3,4.333333333333333,4.333333333333333,2,1.0694444444444444,0,50,21260,401,0.05716,20.574449903334123
gpt-4o-2024-08-06,R_fixed,reference_passed_only,1,3,3,1.0,3,5.0,5.0,2,1.1805555555555556,0,58,26247,341,0.06902749999999999,21.815102981665405
gpt-4o-2024-08-06,R_fixed,reference_passed_only,2,3,3,1.0,3,4.666666666666667,4.666666666666667,2,1.125,0,51,21347,271,0.0560775,19.033862524001353
gpt-4o-2024-08-06,R_none,all_four_diagnostic,0,4,1,0.25,1,0.0,0.0,0,,3,10,2079,32,0.0055175,4.335006007748234
gpt-4o-2024-08-06,R_none,all_four_diagnostic,1,4,1,0.25,1,0.0,0.0,0,,3,10,2079,32,0.0055175,4.368957599999703
gpt-4o-2024-08-06,R_none,all_four_diagnostic,2,4,1,0.25,1,0.0,0.0,0,,3,10,2079,32,0.0055175,3.965882247501213
gpt-4o-2024-08-06,R_none,reference_passed_only,0,3,1,0.3333333333333333,1,0.0,0.0,0,,2,7,1424,22,0.00378,4.315430664665958
gpt-4o-2024-08-06,R_none,reference_passed_only,1,3,1,0.3333333333333333,1,0.0,0.0,0,,2,7,1424,22,0.00378,4.3947413260005606
gpt-4o-2024-08-06,R_none,reference_passed_only,2,3,1,0.3333333333333333,1,0.0,0.0,0,,2,7,1424,22,0.00378,3.6939136346676
gpt-4o-2024-08-06,R_random,all_four_diagnostic,0,4,3,0.75,3,4.0,4.333333333333333,2,1.0694444444444444,1,54,14912,250,0.039779999999999996,17.37773906700022
gpt-4o-2024-08-06,R_random,all_four_diagnostic,1,4,3,0.75,3,4.25,4.666666666666667,2,1.1944444444444444,1,63,18094,342,0.048655000000000004,19.09811493674897
gpt-4o-2024-08-06,R_random,all_four_diagnostic,2,4,3,0.75,3,4.0,4.333333333333333,2,1.0694444444444444,1,56,15555,272,0.0416075,16.655904831497537
gpt-4o-2024-08-06,R_random,reference_passed_only,0,3,3,1.0,3,4.333333333333333,4.333333333333333,2,1.0694444444444444,0,42,11207,188,0.029897499999999997,17.663981665333267
gpt-4o-2024-08-06,R_random,reference_passed_only,1,3,3,1.0,3,4.666666666666667,4.666666666666667,2,1.1944444444444444,0,51,14673,280,0.039482500000000004,20.111881849666435
gpt-4o-2024-08-06,R_random,reference_passed_only,2,3,3,1.0,3,4.333333333333333,4.333333333333333,2,1.0694444444444444,0,44,12130,210,0.032425,17.108425898331916
gpt-4o-mini-2024-07-18,C0_no_precheck,all_four_diagnostic,0,4,2,0.5,2,3.75,3.0,1,1.5,1,35,11102,215,0.0017943,14.481984613499662
gpt-4o-mini-2024-07-18,C0_no_precheck,all_four_diagnostic,1,4,3,0.75,3,3.5,4.333333333333333,2,1.0694444444444444,1,33,10390,199,0.0016779,14.122761885251748
gpt-4o-mini-2024-07-18,C0_no_precheck,all_four_diagnostic,2,4,3,0.75,3,3.25,4.0,2,1.0138888888888888,1,31,9598,187,0.0015519,12.215668586750326
gpt-4o-mini-2024-07-18,C0_no_precheck,reference_passed_only,0,3,2,0.6666666666666666,2,3.3333333333333335,3.0,1,1.5,0,23,6971,134,0.00112605,12.720451235666891
gpt-4o-mini-2024-07-18,C0_no_precheck,reference_passed_only,1,3,3,1.0,3,4.333333333333333,4.333333333333333,2,1.0694444444444444,0,29,9100,177,0.0014712,15.988635368002482
gpt-4o-mini-2024-07-18,C0_no_precheck,reference_passed_only,2,3,3,1.0,3,4.0,4.0,2,1.0138888888888888,0,27,8308,165,0.0013452,13.767178369002067
gpt-4o-mini-2024-07-18,C1_budgeted,all_four_diagnostic,0,4,2,0.5,2,2.75,2.0,1,1.0,2,67,22201,1253,0.00408195,21.153556777500853
gpt-4o-mini-2024-07-18,C1_budgeted,all_four_diagnostic,1,4,1,0.25,1,1.25,0.0,0,,2,37,11547,677,0.00213825,11.956697437251933
gpt-4o-mini-2024-07-18,C1_budgeted,all_four_diagnostic,2,4,1,0.25,1,2.75,0.0,0,,2,67,23035,1385,0.00428625,20.33340453124947
gpt-4o-mini-2024-07-18,C1_budgeted,reference_passed_only,0,3,2,0.6666666666666666,2,1.6666666666666667,2.0,1,1.0,1,32,9678,502,0.0017529,13.50638656666706
gpt-4o-mini-2024-07-18,C1_budgeted,reference_passed_only,1,3,1,0.3333333333333333,1,1.3333333333333333,0.0,0,,1,27,8234,503,0.0015369,11.703722146002596
gpt-4o-mini-2024-07-18,C1_budgeted,reference_passed_only,2,3,1,0.3333333333333333,1,1.3333333333333333,0.0,0,,1,27,8171,440,0.00148965,10.970288077000683
gpt-4o-mini-2024-07-18,C1_llm_precheck,all_four_diagnostic,0,4,3,0.75,3,3.75,4.0,2,1.0138888888888888,1,59,17528,446,0.0028968,19.36591050750212
gpt-4o-mini-2024-07-18,C1_llm_precheck,all_four_diagnostic,1,4,3,0.75,3,3.0,3.6666666666666665,2,0.8888888888888888,1,50,14844,521,0.0025391999999999997,16.960102648748943
gpt-4o-mini-2024-07-18,C1_llm_precheck,all_four_diagnostic,2,4,3,0.75,3,3.25,4.0,2,0.9444444444444444,1,55,16782,586,0.0028689,16.434032876501078
gpt-4o-mini-2024-07-18,C1_llm_precheck,reference_passed_only,0,3,3,1.0,3,4.0,4.0,2,1.0138888888888888,0,47,14028,385,0.0023352,20.086547546668346
gpt-4o-mini-2024-07-18,C1_llm_precheck,reference_passed_only,1,3,3,1.0,3,3.6666666666666665,3.6666666666666665,2,0.8888888888888888,0,44,13223,390,0.0022174499999999997,18.48609935633188
gpt-4o-mini-2024-07-18,C1_llm_precheck,reference_passed_only,2,3,3,1.0,3,4.0,4.0,2,0.9444444444444444,0,49,15161,455,0.00254715,18.931946830334102
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,all_four_diagnostic,0,4,1,0.25,1,2.0,0.0,0,,1,21,6443,117,0.00103665,9.140567356998872
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,all_four_diagnostic,1,4,1,0.25,1,2.0,0.0,0,,1,21,6443,117,0.00103665,8.854894162750497
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,all_four_diagnostic,2,4,2,0.5,2,4.5,2.5,1,1.25,1,46,16634,318,0.0026858999999999997,16.444734091999635
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,reference_passed_only,0,3,1,0.3333333333333333,1,2.3333333333333335,0.0,0,,0,17,5112,96,0.0008244,9.266267997998511
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,reference_passed_only,1,3,1,0.3333333333333333,1,2.3333333333333335,0.0,0,,0,17,5112,96,0.0008244,9.341267483000896
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,reference_passed_only,2,3,2,0.6666666666666666,2,4.333333333333333,2.5,1,1.25,0,33,11961,228,0.0019309499999999999,15.491311485997963
gpt-4o-mini-2024-07-18,C3_execution_feedback,all_four_diagnostic,0,4,2,0.5,2,3.25,3.0,1,1.5,2,32,10440,211,0.0016926,13.324719017249663
gpt-4o-mini-2024-07-18,C3_execution_feedback,all_four_diagnostic,1,4,2,0.5,2,5.0,2.5,1,1.25,1,45,14895,269,0.00239565,17.456758838003225
gpt-4o-mini-2024-07-18,C3_execution_feedback,all_four_diagnostic,2,4,1,0.25,1,3.75,0.0,0,,3,37,12747,242,0.00205725,14.417647049000152
gpt-4o-mini-2024-07-18,C3_execution_feedback,reference_passed_only,0,3,2,0.6666666666666666,2,3.3333333333333335,3.0,1,1.5,0,23,6971,134,0.00112605,12.364597074001116
gpt-4o-mini-2024-07-18,C3_execution_feedback,reference_passed_only,1,3,2,0.6666666666666666,2,4.0,2.5,1,1.25,0,27,8420,158,0.0013578,14.14289139900211
gpt-4o-mini-2024-07-18,C3_execution_feedback,reference_passed_only,2,3,1,0.3333333333333333,1,3.3333333333333335,0.0,0,,0,23,7202,133,0.0011601,11.671621841334854
gpt-4o-mini-2024-07-18,C4_budgeted,all_four_diagnostic,0,4,2,0.5,2,3.25,3.0,1,1.5,1,73,24191,1356,0.00444225,23.10389480874801
gpt-4o-mini-2024-07-18,C4_budgeted,all_four_diagnostic,1,4,2,0.5,2,2.75,2.0,1,1.0,1,63,21335,1090,0.00385425,21.049360246250217
gpt-4o-mini-2024-07-18,C4_budgeted,all_four_diagnostic,2,4,2,0.5,2,2.75,3.0,1,1.5,1,63,20497,1089,0.00372795,18.987365470999066
gpt-4o-mini-2024-07-18,C4_budgeted,reference_passed_only,0,3,2,0.6666666666666666,2,3.6666666666666665,3.0,1,1.5,0,58,19150,1055,0.0035055,24.529309335999034
gpt-4o-mini-2024-07-18,C4_budgeted,reference_passed_only,1,3,2,0.6666666666666666,2,3.3333333333333335,2.0,1,1.0,0,53,17960,938,0.0032568,22.076007738001255
gpt-4o-mini-2024-07-18,C4_budgeted,reference_passed_only,2,3,2,0.6666666666666666,2,3.3333333333333335,3.0,1,1.5,0,53,17121,936,0.00312975,20.7856808669967
gpt-4o-mini-2024-07-18,C5_full_graph,all_four_diagnostic,0,4,1,0.25,1,3.0,0.0,0,,1,29,9243,177,0.00149265,12.312471723498675
gpt-4o-mini-2024-07-18,C5_full_graph,all_four_diagnostic,1,4,2,0.5,2,2.5,2.5,1,1.25,1,26,8245,154,0.00132915,11.154604471248604
gpt-4o-mini-2024-07-18,C5_full_graph,all_four_diagnostic,2,4,2,0.5,2,3.5,2.5,1,1.25,1,35,11587,223,0.00187185,13.441586072500286
gpt-4o-mini-2024-07-18,C5_full_graph,reference_passed_only,0,3,1,0.3333333333333333,1,2.3333333333333335,0.0,0,,0,17,5112,96,0.0008244,9.589424260331725
gpt-4o-mini-2024-07-18,C5_full_graph,reference_passed_only,1,3,2,0.6666666666666666,2,3.0,2.5,1,1.25,0,22,6914,133,0.0011169,12.274448050663826
gpt-4o-mini-2024-07-18,C5_full_graph,reference_passed_only,2,3,2,0.6666666666666666,2,3.0,2.5,1,1.25,0,22,6914,133,0.0011169,11.245162358000622
gpt-4o-mini-2024-07-18,R_fixed,all_four_diagnostic,0,4,2,0.5,2,3.75,3.5,1,0.875,0,49,21538,223,0.0033645000000000003,16.019679916502355
gpt-4o-mini-2024-07-18,R_fixed,all_four_diagnostic,1,4,2,0.5,2,7.0,3.0,1,1.5,1,102,49996,769,0.007960799999999999,32.80109337900103
gpt-4o-mini-2024-07-18,R_fixed,all_four_diagnostic,2,4,3,0.75,3,7.0,4.666666666666667,2,1.1944444444444444,1,104,52114,809,0.008302499999999999,30.853840742500324
gpt-4o-mini-2024-07-18,R_fixed,reference_passed_only,0,3,1,0.3333333333333333,1,2.6666666666666665,0.0,0,,0,27,10590,114,0.0016569,11.8620623766692
gpt-4o-mini-2024-07-18,R_fixed,reference_passed_only,1,3,2,0.6666666666666666,2,4.666666666666667,3.0,1,1.5,0,51,19906,273,0.0031496999999999996,21.343946695667302
gpt-4o-mini-2024-07-18,R_fixed,reference_passed_only,2,3,3,1.0,3,4.666666666666667,4.666666666666667,2,1.1944444444444444,0,53,22024,313,0.0034914,20.46191935766789
gpt-4o-mini-2024-07-18,R_none,all_four_diagnostic,0,4,1,0.25,1,0.0,0.0,0,,3,14,3321,86,0.00054975,5.029706417748457
gpt-4o-mini-2024-07-18,R_none,all_four_diagnostic,1,4,1,0.25,1,0.0,0.0,0,,3,12,2652,51,0.00042839999999999995,4.21999816774769
gpt-4o-mini-2024-07-18,R_none,all_four_diagnostic,2,4,1,0.25,1,0.0,0.0,0,,3,12,2652,51,0.00042839999999999995,4.107159926999884
gpt-4o-mini-2024-07-18,R_none,reference_passed_only,0,3,1,0.3333333333333333,1,0.0,0.0,0,,2,11,2663,73,0.00044324999999999996,5.13954997833207
gpt-4o-mini-2024-07-18,R_none,reference_passed_only,1,3,1,0.3333333333333333,1,0.0,0.0,0,,2,9,1996,41,0.00032399999999999996,4.197084465330893
gpt-4o-mini-2024-07-18,R_none,reference_passed_only,2,3,1,0.3333333333333333,1,0.0,0.0,0,,2,9,1996,41,0.00032399999999999996,3.9419687843328575
gpt-4o-mini-2024-07-18,R_random,all_four_diagnostic,0,4,3,0.75,3,4.0,4.0,2,1.0,0,58,17439,340,0.00281985,19.06674609000038
gpt-4o-mini-2024-07-18,R_random,all_four_diagnostic,1,4,2,0.5,2,3.0,3.5,1,0.875,1,46,13231,447,0.0022528500000000003,15.318701528500242
gpt-4o-mini-2024-07-18,R_random,all_four_diagnostic,2,4,3,0.75,3,3.75,4.0,2,1.0,0,55,15966,309,0.0025803,17.302132296750642
gpt-4o-mini-2024-07-18,R_random,reference_passed_only,0,3,2,0.6666666666666666,2,2.6666666666666665,2.0,1,1.0,0,33,9430,216,0.0015440999999999999,14.338011087000874
gpt-4o-mini-2024-07-18,R_random,reference_passed_only,1,3,1,0.3333333333333333,1,1.6666666666666667,0.0,0,,1,24,6987,148,0.00113685,11.237427915000202
gpt-4o-mini-2024-07-18,R_random,reference_passed_only,2,3,2,0.6666666666666666,2,2.3333333333333335,2.0,1,1.0,0,28,7690,167,0.0012537000000000002,12.517435034334389
