model,target,baseline,repeat,kind,task_id,reference_success,reference_length,target_success,baseline_success,success_difference,both_success,action_difference,cost_difference
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,C1_llm_precheck,2,state_change_task,test_task6,True,4,True,True,0,True,1,-3.150000000000006e-05
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,C1_llm_precheck,2,placement_task,test_task1,False,8,False,False,0,False,4,0.0004332
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,C1_llm_precheck,2,placement_task,test_task65,True,9,False,True,-1,False,0,-0.0005847000000000001
gpt-4o-mini-2024-07-18,C3_execution_feedback,C1_llm_precheck,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C3_execution_feedback,C1_llm_precheck,0,state_change_task,test_task6,True,4,True,True,0,True,1,-0.00014789999999999996
gpt-4o-mini-2024-07-18,C3_execution_feedback,C1_llm_precheck,0,placement_task,test_task1,False,8,False,False,0,False,0,4.949999999999985e-06
gpt-4o-mini-2024-07-18,C3_execution_feedback,C1_llm_precheck,0,placement_task,test_task65,True,9,False,True,-1,False,-3,-0.0010612500000000001
gpt-4o-mini-2024-07-18,C3_execution_feedback,C1_llm_precheck,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C3_execution_feedback,C1_llm_precheck,1,state_change_task,test_task6,True,4,True,True,0,True,1,-0.00013155000000000003
gpt-4o-mini-2024-07-18,C3_execution_feedback,C1_llm_precheck,1,placement_task,test_task1,False,8,False,False,0,False,7,0.0007160999999999999
gpt-4o-mini-2024-07-18,C3_execution_feedback,C1_llm_precheck,1,placement_task,test_task65,True,9,False,True,-1,False,0,-0.0007280999999999999
gpt-4o-mini-2024-07-18,C3_execution_feedback,C1_llm_precheck,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C3_execution_feedback,C1_llm_precheck,2,state_change_task,test_task6,True,4,False,True,-1,False,-1,-0.00032400000000000007
gpt-4o-mini-2024-07-18,C3_execution_feedback,C1_llm_precheck,2,placement_task,test_task1,False,8,False,False,0,False,4,0.0005754
gpt-4o-mini-2024-07-18,C3_execution_feedback,C1_llm_precheck,2,placement_task,test_task65,True,9,False,True,-1,False,-1,-0.0010630499999999998
gpt-4o-mini-2024-07-18,C4_budgeted,C1_budgeted,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C4_budgeted,C1_budgeted,0,state_change_task,test_task6,True,4,True,True,0,True,2,0.0007361999999999998
gpt-4o-mini-2024-07-18,C4_budgeted,C1_budgeted,0,placement_task,test_task1,False,8,False,False,0,False,-4,-0.0013923
gpt-4o-mini-2024-07-18,C4_budgeted,C1_budgeted,0,placement_task,test_task65,True,9,False,False,0,False,4,0.0010164
gpt-4o-mini-2024-07-18,C4_budgeted,C1_budgeted,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C4_budgeted,C1_budgeted,1,state_change_task,test_task6,True,4,True,False,1,False,1,0.00029535
gpt-4o-mini-2024-07-18,C4_budgeted,C1_budgeted,1,placement_task,test_task1,False,8,False,False,0,False,0,-3.899999999999932e-06
gpt-4o-mini-2024-07-18,C4_budgeted,C1_budgeted,1,placement_task,test_task65,True,9,False,False,0,False,5,0.00142455
gpt-4o-mini-2024-07-18,C4_budgeted,C1_budgeted,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C4_budgeted,C1_budgeted,2,state_change_task,test_task6,True,4,True,False,1,False,3,0.0009739499999999999
gpt-4o-mini-2024-07-18,C4_budgeted,C1_budgeted,2,placement_task,test_task1,False,8,False,False,0,False,-6,-0.0021983999999999997
gpt-4o-mini-2024-07-18,C4_budgeted,C1_budgeted,2,placement_task,test_task65,True,9,False,False,0,False,3,0.0006661500000000001
gpt-4o-mini-2024-07-18,C5_full_graph,C2_symbolic_precheck,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C5_full_graph,C2_symbolic_precheck,0,state_change_task,test_task6,True,4,False,False,0,False,0,0.0
gpt-4o-mini-2024-07-18,C5_full_graph,C2_symbolic_precheck,0,placement_task,test_task1,False,8,False,False,0,False,4,0.000456
gpt-4o-mini-2024-07-18,C5_full_graph,C2_symbolic_precheck,0,placement_task,test_task65,True,9,False,False,0,False,0,0.0
gpt-4o-mini-2024-07-18,C5_full_graph,C2_symbolic_precheck,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C5_full_graph,C2_symbolic_precheck,1,state_change_task,test_task6,True,4,True,False,1,False,2,0.0002925
gpt-4o-mini-2024-07-18,C5_full_graph,C2_symbolic_precheck,1,placement_task,test_task1,False,8,False,False,0,False,0,0.0
gpt-4o-mini-2024-07-18,C5_full_graph,C2_symbolic_precheck,1,placement_task,test_task65,True,9,False,False,0,False,0,0.0
gpt-4o-mini-2024-07-18,C5_full_graph,C2_symbolic_precheck,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C5_full_graph,C2_symbolic_precheck,2,state_change_task,test_task6,True,4,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C5_full_graph,C2_symbolic_precheck,2,placement_task,test_task1,False,8,False,False,0,False,0,0.0
gpt-4o-mini-2024-07-18,C5_full_graph,C2_symbolic_precheck,2,placement_task,test_task65,True,9,False,False,0,False,-4,-0.0008140499999999999
gpt-4o-mini-2024-07-18,R_random,C1_llm_precheck,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,R_random,C1_llm_precheck,0,state_change_task,test_task6,True,4,True,True,0,True,-1,-0.00014654999999999996
gpt-4o-mini-2024-07-18,R_random,C1_llm_precheck,0,placement_task,test_task1,False,8,True,False,1,False,5,0.00071415
gpt-4o-mini-2024-07-18,R_random,C1_llm_precheck,0,placement_task,test_task65,True,9,False,True,-1,False,-3,-0.0006445500000000001
gpt-4o-mini-2024-07-18,R_random,C1_llm_precheck,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,R_random,C1_llm_precheck,1,state_change_task,test_task6,True,4,False,True,-1,False,-2,-0.00016649999999999998
gpt-4o-mini-2024-07-18,R_random,C1_llm_precheck,1,placement_task,test_task1,False,8,True,False,1,False,6,0.00079425
gpt-4o-mini-2024-07-18,R_random,C1_llm_precheck,1,placement_task,test_task65,True,9,False,True,-1,False,-4,-0.0009140999999999998
gpt-4o-mini-2024-07-18,R_random,C1_llm_precheck,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,R_random,C1_llm_precheck,2,state_change_task,test_task6,True,4,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,R_random,C1_llm_precheck,2,placement_task,test_task1,False,8,True,False,1,False,7,0.00100485
gpt-4o-mini-2024-07-18,R_random,C1_llm_precheck,2,placement_task,test_task65,True,9,False,True,-1,False,-5,-0.0012934499999999998
gpt-4o-mini-2024-07-18,R_fixed,C1_llm_precheck,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,R_fixed,C1_llm_precheck,0,state_change_task,test_task6,True,4,False,True,-1,False,-2,-0.0003800999999999999
gpt-4o-mini-2024-07-18,R_fixed,C1_llm_precheck,0,placement_task,test_task1,False,8,True,False,1,False,4,0.001146
gpt-4o-mini-2024-07-18,R_fixed,C1_llm_precheck,0,placement_task,test_task65,True,9,False,True,-1,False,-2,-0.0002982
gpt-4o-mini-2024-07-18,R_fixed,C1_llm_precheck,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,R_fixed,C1_llm_precheck,1,state_change_task,test_task6,True,4,True,True,0,True,2,0.0005158499999999999
gpt-4o-mini-2024-07-18,R_fixed,C1_llm_precheck,1,placement_task,test_task1,False,8,False,False,0,False,13,0.00448935
gpt-4o-mini-2024-07-18,R_fixed,C1_llm_precheck,1,placement_task,test_task65,True,9,False,True,-1,False,1,0.00041639999999999993
gpt-4o-mini-2024-07-18,R_fixed,C1_llm_precheck,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,R_fixed,C1_llm_precheck,2,state_change_task,test_task6,True,4,True,True,0,True,2,0.00038909999999999986
gpt-4o-mini-2024-07-18,R_fixed,C1_llm_precheck,2,placement_task,test_task1,False,8,False,False,0,False,13,0.00448935
gpt-4o-mini-2024-07-18,R_fixed,C1_llm_precheck,2,placement_task,test_task65,True,9,True,True,0,True,0,0.0005551499999999999
gpt-4o-mini-2024-07-18,R_none,C1_llm_precheck,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,R_none,C1_llm_precheck,0,state_change_task,test_task6,True,4,False,True,-1,False,-5,-0.0005633999999999999
gpt-4o-mini-2024-07-18,R_none,C1_llm_precheck,0,placement_task,test_task1,False,8,False,False,0,False,-3,-0.0004551
gpt-4o-mini-2024-07-18,R_none,C1_llm_precheck,0,placement_task,test_task65,True,9,False,True,-1,False,-7,-0.00132855
gpt-4o-mini-2024-07-18,R_none,C1_llm_precheck,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,R_none,C1_llm_precheck,1,state_change_task,test_task6,True,4,False,True,-1,False,-4,-0.0004431
gpt-4o-mini-2024-07-18,R_none,C1_llm_precheck,1,placement_task,test_task1,False,8,False,False,0,False,-1,-0.00021735
gpt-4o-mini-2024-07-18,R_none,C1_llm_precheck,1,placement_task,test_task65,True,9,False,True,-1,False,-7,-0.0014503499999999998
gpt-4o-mini-2024-07-18,R_none,C1_llm_precheck,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,R_none,C1_llm_precheck,2,state_change_task,test_task6,True,4,False,True,-1,False,-4,-0.00043785000000000004
gpt-4o-mini-2024-07-18,R_none,C1_llm_precheck,2,placement_task,test_task1,False,8,False,False,0,False,-1,-0.00021735
gpt-4o-mini-2024-07-18,R_none,C1_llm_precheck,2,placement_task,test_task65,True,9,False,True,-1,False,-8,-0.0017852999999999999
gpt-4o-2024-08-06,C1_llm_precheck,C0_no_precheck,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C1_llm_precheck,C0_no_precheck,0,state_change_task,test_task6,True,4,True,True,0,True,-1,0.0024775000000000005
gpt-4o-2024-08-06,C1_llm_precheck,C0_no_precheck,0,placement_task,test_task1,False,8,False,False,0,False,0,0.0018525
gpt-4o-2024-08-06,C1_llm_precheck,C0_no_precheck,0,placement_task,test_task65,True,9,True,True,0,True,1,0.008917500000000002
gpt-4o-2024-08-06,C1_llm_precheck,C0_no_precheck,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C1_llm_precheck,C0_no_precheck,1,state_change_task,test_task6,True,4,True,True,0,True,0,0.0019699999999999995
gpt-4o-2024-08-06,C1_llm_precheck,C0_no_precheck,1,placement_task,test_task1,False,8,False,False,0,False,0,0.0018525
gpt-4o-2024-08-06,C1_llm_precheck,C0_no_precheck,1,placement_task,test_task65,True,9,True,True,0,True,1,0.0088675
gpt-4o-2024-08-06,C1_llm_precheck,C0_no_precheck,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C1_llm_precheck,C0_no_precheck,2,state_change_task,test_task6,True,4,True,True,0,True,1,0.00588
gpt-4o-2024-08-06,C1_llm_precheck,C0_no_precheck,2,placement_task,test_task1,False,8,False,False,0,False,0,0.0018624999999999996
gpt-4o-2024-08-06,C1_llm_precheck,C0_no_precheck,2,placement_task,test_task65,True,9,True,True,0,True,1,0.0088225
gpt-4o-2024-08-06,C2_symbolic_precheck,C1_llm_precheck,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C2_symbolic_precheck,C1_llm_precheck,0,state_change_task,test_task6,True,4,True,True,0,True,0,-0.00421
gpt-4o-2024-08-06,C2_symbolic_precheck,C1_llm_precheck,0,placement_task,test_task1,False,8,False,False,0,False,8,0.018902500000000003
gpt-4o-2024-08-06,C2_symbolic_precheck,C1_llm_precheck,0,placement_task,test_task65,True,9,True,True,0,True,2,0.003179999999999999
gpt-4o-2024-08-06,C2_symbolic_precheck,C1_llm_precheck,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C2_symbolic_precheck,C1_llm_precheck,1,state_change_task,test_task6,True,4,True,True,0,True,-1,-0.0036524999999999995
gpt-4o-2024-08-06,C2_symbolic_precheck,C1_llm_precheck,1,placement_task,test_task1,False,8,True,False,1,False,7,0.016544999999999997
gpt-4o-2024-08-06,C2_symbolic_precheck,C1_llm_precheck,1,placement_task,test_task65,True,9,True,True,0,True,2,0.003870000000000002
gpt-4o-2024-08-06,C2_symbolic_precheck,C1_llm_precheck,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C2_symbolic_precheck,C1_llm_precheck,2,state_change_task,test_task6,True,4,True,True,0,True,0,-0.0026175
gpt-4o-2024-08-06,C2_symbolic_precheck,C1_llm_precheck,2,placement_task,test_task1,False,8,False,False,0,False,1,0.001657500000000001
gpt-4o-2024-08-06,C2_symbolic_precheck,C1_llm_precheck,2,placement_task,test_task65,True,9,True,True,0,True,2,0.005420000000000001
gpt-4o-2024-08-06,C3_execution_feedback,C1_llm_precheck,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C3_execution_feedback,C1_llm_precheck,0,state_change_task,test_task6,True,4,True,True,0,True,-1,-0.0058925
gpt-4o-2024-08-06,C3_execution_feedback,C1_llm_precheck,0,placement_task,test_task1,False,8,False,False,0,False,1,0.004149999999999999
gpt-4o-2024-08-06,C3_execution_feedback,C1_llm_precheck,0,placement_task,test_task65,True,9,True,True,0,True,-1,-0.008872500000000002
gpt-4o-2024-08-06,C3_execution_feedback,C1_llm_precheck,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C3_execution_feedback,C1_llm_precheck,1,state_change_task,test_task6,True,4,True,True,0,True,-1,-0.0036524999999999995
gpt-4o-2024-08-06,C3_execution_feedback,C1_llm_precheck,1,placement_task,test_task1,False,8,False,False,0,False,1,0.004149999999999999
gpt-4o-2024-08-06,C3_execution_feedback,C1_llm_precheck,1,placement_task,test_task65,True,9,True,True,0,True,-1,-0.0088225
gpt-4o-2024-08-06,C3_execution_feedback,C1_llm_precheck,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C3_execution_feedback,C1_llm_precheck,2,state_change_task,test_task6,True,4,True,True,0,True,1,-0.002465
gpt-4o-2024-08-06,C3_execution_feedback,C1_llm_precheck,2,placement_task,test_task1,False,8,False,False,0,False,1,0.004150000000000001
gpt-4o-2024-08-06,C3_execution_feedback,C1_llm_precheck,2,placement_task,test_task65,True,9,True,True,0,True,-1,-0.0088675
gpt-4o-2024-08-06,C4_budgeted,C1_budgeted,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C4_budgeted,C1_budgeted,0,state_change_task,test_task6,True,4,True,True,0,True,0,0.0015200000000000005
gpt-4o-2024-08-06,C4_budgeted,C1_budgeted,0,placement_task,test_task1,False,8,True,True,0,True,-2,-0.012709999999999999
gpt-4o-2024-08-06,C4_budgeted,C1_budgeted,0,placement_task,test_task65,True,9,True,True,0,True,-1,-0.005792499999999999
gpt-4o-2024-08-06,C4_budgeted,C1_budgeted,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C4_budgeted,C1_budgeted,1,state_change_task,test_task6,True,4,True,True,0,True,0,0.0014324999999999997
gpt-4o-2024-08-06,C4_budgeted,C1_budgeted,1,placement_task,test_task1,False,8,False,False,0,False,0,0.0003849999999999999
gpt-4o-2024-08-06,C4_budgeted,C1_budgeted,1,placement_task,test_task65,True,9,True,True,0,True,0,-9.249999999999536e-05
gpt-4o-2024-08-06,C4_budgeted,C1_budgeted,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C4_budgeted,C1_budgeted,2,state_change_task,test_task6,True,4,True,True,0,True,0,0.0009949999999999994
gpt-4o-2024-08-06,C4_budgeted,C1_budgeted,2,placement_task,test_task1,False,8,False,True,-1,False,-3,-0.012949999999999996
gpt-4o-2024-08-06,C4_budgeted,C1_budgeted,2,placement_task,test_task65,True,9,True,True,0,True,0,-0.0005674999999999986
gpt-4o-2024-08-06,C5_full_graph,C2_symbolic_precheck,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C5_full_graph,C2_symbolic_precheck,0,state_change_task,test_task6,True,4,True,True,0,True,0,0.0015799999999999998
gpt-4o-2024-08-06,C5_full_graph,C2_symbolic_precheck,0,placement_task,test_task1,False,8,False,False,0,False,-7,-0.017235
gpt-4o-2024-08-06,C5_full_graph,C2_symbolic_precheck,0,placement_task,test_task65,True,9,True,True,0,True,0,0.002190000000000001
gpt-4o-2024-08-06,C5_full_graph,C2_symbolic_precheck,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C5_full_graph,C2_symbolic_precheck,1,state_change_task,test_task6,True,4,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C5_full_graph,C2_symbolic_precheck,1,placement_task,test_task1,False,8,False,True,-1,False,-6,-0.014877499999999998
gpt-4o-2024-08-06,C5_full_graph,C2_symbolic_precheck,1,placement_task,test_task65,True,9,True,True,0,True,0,-0.0006400000000000017
gpt-4o-2024-08-06,C5_full_graph,C2_symbolic_precheck,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C5_full_graph,C2_symbolic_precheck,2,state_change_task,test_task6,True,4,True,True,0,True,0,0.0
gpt-4o-2024-08-06,C5_full_graph,C2_symbolic_precheck,2,placement_task,test_task1,False,8,False,False,0,False,0,0.0
gpt-4o-2024-08-06,C5_full_graph,C2_symbolic_precheck,2,placement_task,test_task65,True,9,True,True,0,True,0,-0.002190000000000001
gpt-4o-2024-08-06,R_random,C1_llm_precheck,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,R_random,C1_llm_precheck,0,state_change_task,test_task6,True,4,True,True,0,True,0,-0.002677500000000001
gpt-4o-2024-08-06,R_random,C1_llm_precheck,0,placement_task,test_task1,False,8,False,False,0,False,0,0.0006600000000000009
gpt-4o-2024-08-06,R_random,C1_llm_precheck,0,placement_task,test_task65,True,9,True,True,0,True,-1,-0.005150000000000002
gpt-4o-2024-08-06,R_random,C1_llm_precheck,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,R_random,C1_llm_precheck,1,state_change_task,test_task6,True,4,True,True,0,True,1,0.0077575000000000005
gpt-4o-2024-08-06,R_random,C1_llm_precheck,1,placement_task,test_task1,False,8,False,False,0,False,0,-4.99999999999997e-05
gpt-4o-2024-08-06,R_random,C1_llm_precheck,1,placement_task,test_task65,True,9,True,True,0,True,-1,-0.003709999999999998
gpt-4o-2024-08-06,R_random,C1_llm_precheck,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,R_random,C1_llm_precheck,2,state_change_task,test_task6,True,4,True,True,0,True,0,1.2500000000000358e-05
gpt-4o-2024-08-06,R_random,C1_llm_precheck,2,placement_task,test_task1,False,8,False,False,0,False,0,-4.99999999999997e-05
gpt-4o-2024-08-06,R_random,C1_llm_precheck,2,placement_task,test_task65,True,9,True,True,0,True,-1,-0.005249999999999998
gpt-4o-2024-08-06,R_fixed,C1_llm_precheck,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,R_fixed,C1_llm_precheck,0,state_change_task,test_task6,True,4,True,True,0,True,0,0.0018925
gpt-4o-2024-08-06,R_fixed,C1_llm_precheck,0,placement_task,test_task1,False,8,False,False,0,False,0,0.006580000000000001
gpt-4o-2024-08-06,R_fixed,C1_llm_precheck,0,placement_task,test_task65,True,9,True,True,0,True,-1,0.0175425
gpt-4o-2024-08-06,R_fixed,C1_llm_precheck,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,R_fixed,C1_llm_precheck,1,state_change_task,test_task6,True,4,True,True,0,True,0,0.003997499999999999
gpt-4o-2024-08-06,R_fixed,C1_llm_precheck,1,placement_task,test_task1,False,8,False,False,0,False,0,0.006580000000000001
gpt-4o-2024-08-06,R_fixed,C1_llm_precheck,1,placement_task,test_task65,True,9,True,True,0,True,1,0.029595
gpt-4o-2024-08-06,R_fixed,C1_llm_precheck,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,R_fixed,C1_llm_precheck,2,state_change_task,test_task6,True,4,True,True,0,True,0,0.0019050000000000004
gpt-4o-2024-08-06,R_fixed,C1_llm_precheck,2,placement_task,test_task1,False,8,False,False,0,False,0,0.006570000000000001
gpt-4o-2024-08-06,R_fixed,C1_llm_precheck,2,placement_task,test_task65,True,9,True,True,0,True,0,0.01651
gpt-4o-2024-08-06,R_none,C1_llm_precheck,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,R_none,C1_llm_precheck,0,state_change_task,test_task6,True,4,False,True,-1,False,-5,-0.01102
gpt-4o-2024-08-06,R_none,C1_llm_precheck,0,placement_task,test_task1,False,8,False,False,0,False,-3,-0.0074849999999999995
gpt-4o-2024-08-06,R_none,C1_llm_precheck,0,placement_task,test_task65,True,9,False,True,-1,False,-9,-0.022925
gpt-4o-2024-08-06,R_none,C1_llm_precheck,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,R_none,C1_llm_precheck,1,state_change_task,test_task6,True,4,False,True,-1,False,-5,-0.00878
gpt-4o-2024-08-06,R_none,C1_llm_precheck,1,placement_task,test_task1,False,8,False,False,0,False,-3,-0.0074849999999999995
gpt-4o-2024-08-06,R_none,C1_llm_precheck,1,placement_task,test_task65,True,9,False,True,-1,False,-9,-0.022875
gpt-4o-2024-08-06,R_none,C1_llm_precheck,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-2024-08-06,R_none,C1_llm_precheck,2,state_change_task,test_task6,True,4,False,True,-1,False,-5,-0.0110075
gpt-4o-2024-08-06,R_none,C1_llm_precheck,2,placement_task,test_task1,False,8,False,False,0,False,-3,-0.007494999999999999
gpt-4o-2024-08-06,R_none,C1_llm_precheck,2,placement_task,test_task65,True,9,False,True,-1,False,-9,-0.022875
