run_id,kind,task_id,model,arm,repeat,reference_success,outcome,success,final_goal,reference_length,saved_successful_actions,execution_attempts,failed_execution_attempts,api_calls,prior_incomplete_attempt_calls,input_tokens,output_tokens,estimated_usd,seconds
placement_task_test_task1_C1_budgeted_gpt-4o-mini-2024-07-18_r1,placement_task,test_task1,gpt-4o-mini-2024-07-18,C1_budgeted,1,False,Execution Failure,False,False,8,1,2,1,10,0,3313,174,0.00060135,12.715623310999945
placement_task_test_task1_C1_budgeted_gpt-4o-mini-2024-07-18_r2,placement_task,test_task1,gpt-4o-mini-2024-07-18,C1_budgeted,2,False,Execution Failure,False,False,8,7,8,1,40,0,14864,945,0.0027965999999999998,48.42275389399583
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C1_llm_precheck,0,False,Execution Failure,False,False,8,3,4,1,12,0,3441,62,0.0092225,15.780807763003395
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C1_llm_precheck,1,False,Execution Failure,False,False,8,3,4,1,12,0,3441,62,0.0092225,15.770016472997668
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,C1_llm_precheck,2,False,Execution Failure,False,False,8,3,4,1,12,0,3441,63,0.0092325,15.786327916001028
placement_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,C1_llm_precheck,0,False,Execution Failure,False,False,8,3,4,1,12,0,3500,61,0.0005616,17.203999390003446
placement_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18_r1,placement_task,test_task1,gpt-4o-mini-2024-07-18,C1_llm_precheck,1,False,Execution Failure,False,False,8,1,2,1,6,0,1621,131,0.00032175,12.382112526000128
placement_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18_r2,placement_task,test_task1,gpt-4o-mini-2024-07-18,C1_llm_precheck,2,False,Execution Failure,False,False,8,1,2,1,6,0,1621,131,0.00032175,8.940291015002003
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C2_symbolic_precheck,0,False,Execution Failure,False,False,8,11,12,1,26,0,10482,192,0.028125,37.158515330003866
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C2_symbolic_precheck,1,False,Success,True,True,8,10,10,0,24,0,9619,172,0.0257675,34.559775878995424
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,C2_symbolic_precheck,2,False,Execution Failure,False,False,8,4,5,1,11,0,4036,80,0.01089,15.665339412000321
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,0,False,Execution Failure,False,False,8,1,2,1,4,0,1331,21,0.00021224999999999998,8.763465433999954
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-mini-2024-07-18_r1,placement_task,test_task1,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,1,False,Execution Failure,False,False,8,1,2,1,4,0,1331,21,0.00021224999999999998,7.395774201999302
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-mini-2024-07-18_r2,placement_task,test_task1,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,2,False,Execution Failure,False,False,8,5,6,1,13,0,4673,90,0.00075495,19.30500191000465
placement_task_test_task1_C3_execution_feedback_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C3_execution_feedback,0,False,Execution Failure,False,False,8,4,7,3,12,0,4913,109,0.013372499999999999,18.304480254999362
placement_task_test_task1_C3_execution_feedback_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C3_execution_feedback,1,False,Execution Failure,False,False,8,4,7,3,12,0,4913,109,0.013372499999999999,18.032646585001203
placement_task_test_task1_C3_execution_feedback_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,C3_execution_feedback,2,False,Execution Failure,False,False,8,4,7,3,12,0,4913,110,0.0133825,17.207766501996957
placement_task_test_task1_C3_execution_feedback_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,C3_execution_feedback,0,False,Execution Failure,False,False,8,3,5,2,9,0,3469,77,0.00056655,16.205084846995305
placement_task_test_task1_C3_execution_feedback_gpt-4o-mini-2024-07-18_r1,placement_task,test_task1,gpt-4o-mini-2024-07-18,C3_execution_feedback,1,False,Erroneous Terminate,False,False,8,8,9,1,18,0,6475,111,0.0010378499999999999,27.39836115500657
placement_task_test_task1_C3_execution_feedback_gpt-4o-mini-2024-07-18_r2,placement_task,test_task1,gpt-4o-mini-2024-07-18,C3_execution_feedback,2,False,Execution Failure,False,False,8,5,8,3,14,0,5545,109,0.00089715,22.655722671996045
placement_task_test_task1_C4_budgeted_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C4_budgeted,0,False,Success,True,True,8,6,6,0,31,0,10776,567,0.03261,37.79556579400378
placement_task_test_task1_C4_budgeted_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C4_budgeted,1,False,Execution Failure,False,False,8,3,4,1,20,0,6968,394,0.02136,24.27627097900404
placement_task_test_task1_C4_budgeted_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,C4_budgeted,2,False,Execution Failure,False,False,8,5,6,1,30,0,10614,591,0.032445,31.654981966996274
placement_task_test_task1_C4_budgeted_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,C4_budgeted,0,False,Execution Failure,False,False,8,2,3,1,15,0,5041,301,0.00093675,18.82765122699493
placement_task_test_task1_C4_budgeted_gpt-4o-mini-2024-07-18_r1,placement_task,test_task1,gpt-4o-mini-2024-07-18,C4_budgeted,1,False,Execution Failure,False,False,8,1,2,1,10,0,3375,152,0.00059745,17.969417770997097
placement_task_test_task1_C4_budgeted_gpt-4o-mini-2024-07-18_r2,placement_task,test_task1,gpt-4o-mini-2024-07-18,C4_budgeted,2,False,Execution Failure,False,False,8,1,2,1,10,0,3376,153,0.0005982,13.592419283006166
placement_task_test_task1_C5_full_graph_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C5_full_graph,0,False,Execution Failure,False,False,8,4,5,1,11,0,4036,80,0.01089,18.748918293000315
placement_task_test_task1_C5_full_graph_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C5_full_graph,1,False,Execution Failure,False,False,8,4,5,1,11,0,4036,80,0.01089,15.798375236998254
placement_task_test_task1_C5_full_graph_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,C5_full_graph,2,False,Execution Failure,False,False,8,4,5,1,11,0,4036,80,0.01089,15.797662542005128
placement_task_test_task1_C5_full_graph_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,C5_full_graph,0,False,Execution Failure,False,False,8,5,6,1,12,0,4131,81,0.00066825,20.481614112999523
placement_task_test_task1_C5_full_graph_gpt-4o-mini-2024-07-18_r1,placement_task,test_task1,gpt-4o-mini-2024-07-18,C5_full_graph,1,False,Execution Failure,False,False,8,1,2,1,4,0,1331,21,0.00021224999999999998,7.795073733002937
placement_task_test_task1_C5_full_graph_gpt-4o-mini-2024-07-18_r2,placement_task,test_task1,gpt-4o-mini-2024-07-18,C5_full_graph,2,False,Execution Failure,False,False,8,5,6,1,13,0,4673,90,0.00075495,20.030857215999276
placement_task_test_task1_R_fixed_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,R_fixed,0,False,Execution Failure,False,False,8,3,4,1,12,0,6073,62,0.0158025,17.15276135699969
placement_task_test_task1_R_fixed_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,R_fixed,1,False,Execution Failure,False,False,8,3,4,1,12,0,6073,62,0.0158025,15.52419916499639
placement_task_test_task1_R_fixed_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,R_fixed,2,False,Execution Failure,False,False,8,3,4,1,12,0,6073,62,0.0158025,15.844174908997957
placement_task_test_task1_R_fixed_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,R_fixed,0,False,Success,True,True,8,7,7,0,22,0,10948,109,0.0017076,28.492532536001818
placement_task_test_task1_R_fixed_gpt-4o-mini-2024-07-18_r1,placement_task,test_task1,gpt-4o-mini-2024-07-18,R_fixed,1,False,Execution Failure,False,False,8,14,15,1,51,0,30090,496,0.0048111,67.17253342900221
placement_task_test_task1_R_fixed_gpt-4o-mini-2024-07-18_r2,placement_task,test_task1,gpt-4o-mini-2024-07-18,R_fixed,2,False,Execution Failure,False,False,8,14,15,1,51,0,30090,496,0.0048111,62.029604896997625
placement_task_test_task1_R_none_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,R_none,0,False,Execution Failure,False,False,8,0,1,1,3,0,655,10,0.0017375000000000001,4.393732036995061
placement_task_test_task1_R_none_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,R_none,1,False,Execution Failure,False,False,8,0,1,1,3,0,655,10,0.0017375000000000001,4.29160642199713
placement_task_test_task1_R_none_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,R_none,2,False,Execution Failure,False,False,8,0,1,1,3,0,655,10,0.0017375000000000001,4.781788086002052
placement_task_test_task1_R_none_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,R_none,0,False,Execution Failure,False,False,8,0,1,1,3,0,658,13,0.0001065,4.700175735997618
placement_task_test_task1_R_none_gpt-4o-mini-2024-07-18_r1,placement_task,test_task1,gpt-4o-mini-2024-07-18,R_none,1,False,Execution Failure,False,False,8,0,1,1,3,0,656,10,0.00010439999999999999,4.288739274998079
placement_task_test_task1_R_none_gpt-4o-mini-2024-07-18_r2,placement_task,test_task1,gpt-4o-mini-2024-07-18,R_none,2,False,Execution Failure,False,False,8,0,1,1,3,0,656,10,0.00010439999999999999,4.602733355000964
placement_task_test_task1_R_random_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,R_random,0,False,Execution Failure,False,False,8,3,4,1,12,0,3705,62,0.0098825,16.51901127200108
placement_task_test_task1_R_random_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,R_random,1,False,Execution Failure,False,False,8,3,4,1,12,0,3421,62,0.0091725,16.056814197996573
placement_task_test_task1_R_random_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,R_random,2,False,Execution Failure,False,False,8,3,4,1,12,0,3425,62,0.0091825,15.2983416309944
placement_task_test_task1_R_random_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,R_random,0,False,Success,True,True,8,8,8,0,25,0,8009,124,0.00127575,33.25295109899889
placement_task_test_task1_R_random_gpt-4o-mini-2024-07-18_r1,placement_task,test_task1,gpt-4o-mini-2024-07-18,R_random,1,False,Success,True,True,8,7,7,0,22,0,6244,299,0.001116,27.562522369000362
placement_task_test_task1_R_random_gpt-4o-mini-2024-07-18_r2,placement_task,test_task1,gpt-4o-mini-2024-07-18,R_random,2,False,Success,True,True,8,8,8,0,27,0,8276,142,0.0013266,31.656224083999405
placement_task_test_task65_C0_no_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task65,gpt-4o-2024-08-06,C0_no_precheck,0,True,Success,True,True,9,8,8,0,17,0,5908,110,0.01587,24.059155873001146
placement_task_test_task65_C0_no_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task65,gpt-4o-2024-08-06,C0_no_precheck,1,True,Success,True,True,9,8,8,0,17,0,5908,110,0.01587,30.424897741999303
placement_task_test_task65_C0_no_precheck_gpt-4o-2024-08-06_r2,placement_task,test_task65,gpt-4o-2024-08-06,C0_no_precheck,2,True,Success,True,True,9,8,8,0,17,0,5918,112,0.015915,22.71134583499952
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18_r0,placement_task,test_task65,gpt-4o-mini-2024-07-18,C0_no_precheck,0,True,Erroneous Terminate,False,False,9,4,4,0,9,0,3095,57,0.00049845,14.718310583004495
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18_r1,placement_task,test_task65,gpt-4o-mini-2024-07-18,C0_no_precheck,1,True,Success,True,True,9,8,8,0,17,0,5865,113,0.0009475499999999999,25.547591119000572
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18_r2,placement_task,test_task65,gpt-4o-mini-2024-07-18,C0_no_precheck,2,True,Success,True,True,9,7,7,0,15,0,5073,101,0.0008215499999999999,21.322714412002824
placement_task_test_task65_C1_budgeted_gpt-4o-2024-08-06_r0,placement_task,test_task65,gpt-4o-2024-08-06,C1_budgeted,0,True,Success,True,True,9,8,8,0,41,0,14997,751,0.0450025,43.774039982999966
placement_task_test_task65_C1_budgeted_gpt-4o-2024-08-06_r1,placement_task,test_task65,gpt-4o-2024-08-06,C1_budgeted,1,True,Success,True,True,9,7,7,0,36,0,12973,712,0.0395525,38.623012716998346
placement_task_test_task65_C1_budgeted_gpt-4o-2024-08-06_r2,placement_task,test_task65,gpt-4o-2024-08-06,C1_budgeted,2,True,Success,True,True,9,7,7,0,36,0,12965,704,0.0394525,37.99346937399969
placement_task_test_task65_C1_budgeted_gpt-4o-mini-2024-07-18_r0,placement_task,test_task65,gpt-4o-mini-2024-07-18,C1_budgeted,0,True,Execution Failure,False,False,9,1,2,1,10,0,3552,213,0.0006605999999999999,12.867978859998402
placement_task_test_task65_C1_budgeted_gpt-4o-mini-2024-07-18_r1,placement_task,test_task65,gpt-4o-mini-2024-07-18,C1_budgeted,1,True,Execution Failure,False,False,9,1,2,1,10,0,3557,218,0.00066435,13.06127807500161
placement_task_test_task65_C1_budgeted_gpt-4o-mini-2024-07-18_r2,placement_task,test_task65,gpt-4o-mini-2024-07-18,C1_budgeted,2,True,Execution Failure,False,False,9,1,2,1,10,0,3552,213,0.0006605999999999999,11.777064586000051
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task65,gpt-4o-2024-08-06,C1_llm_precheck,0,True,Success,True,True,9,9,9,0,30,0,9295,155,0.0247875,34.37685925400001
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task65,gpt-4o-2024-08-06,C1_llm_precheck,1,True,Success,True,True,9,9,9,0,30,0,9283,153,0.0247375,32.67853547499544
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06_r2,placement_task,test_task65,gpt-4o-2024-08-06,C1_llm_precheck,2,True,Success,True,True,9,9,9,0,30,0,9283,153,0.0247375,33.555510275000415
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18_r0,placement_task,test_task65,gpt-4o-mini-2024-07-18,C1_llm_precheck,0,True,Success,True,True,9,7,7,0,28,0,9222,294,0.0015597,36.00345721800113
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18_r1,placement_task,test_task65,gpt-4o-mini-2024-07-18,C1_llm_precheck,1,True,Success,True,True,9,7,7,0,28,0,9223,298,0.0015622499999999998,33.61001330900035
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18_r2,placement_task,test_task65,gpt-4o-mini-2024-07-18,C1_llm_precheck,2,True,Success,True,True,9,8,8,0,33,0,11168,370,0.0018972,35.73477574499702
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task65,gpt-4o-2024-08-06,C2_symbolic_precheck,0,True,Success,True,True,9,11,11,0,26,0,10419,192,0.0279675,32.82883685599518
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task65,gpt-4o-2024-08-06,C2_symbolic_precheck,1,True,Success,True,True,9,11,11,0,26,0,10419,256,0.0286075,32.014822238001216
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06_r2,placement_task,test_task65,gpt-4o-2024-08-06,C2_symbolic_precheck,2,True,Success,True,True,9,11,11,0,27,0,11235,207,0.0301575,32.069169160000456
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18_r0,placement_task,test_task65,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,0,True,Erroneous Terminate,False,False,9,4,4,0,9,0,3095,57,0.00049845,13.825870582993957
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18_r1,placement_task,test_task65,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,1,True,Erroneous Terminate,False,False,9,4,4,0,9,0,3095,57,0.00049845,14.074005627997394
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18_r2,placement_task,test_task65,gpt-4o-mini-2024-07-18,C2_symbolic_precheck,2,True,Erroneous Terminate,False,False,9,8,8,0,20,0,8142,152,0.0013124999999999999,26.16926451699692
placement_task_test_task65_C3_execution_feedback_gpt-4o-2024-08-06_r0,placement_task,test_task65,gpt-4o-2024-08-06,C3_execution_feedback,0,True,Success,True,True,9,8,8,0,17,0,5918,112,0.015915,23.352497699001106
placement_task_test_task65_C3_execution_feedback_gpt-4o-2024-08-06_r1,placement_task,test_task65,gpt-4o-2024-08-06,C3_execution_feedback,1,True,Success,True,True,9,8,8,0,17,0,5918,112,0.015915,23.389885161996062
placement_task_test_task65_C3_execution_feedback_gpt-4o-2024-08-06_r2,placement_task,test_task65,gpt-4o-2024-08-06,C3_execution_feedback,2,True,Success,True,True,9,8,8,0,17,0,5908,110,0.01587,24.272028122002666
placement_task_test_task65_C3_execution_feedback_gpt-4o-mini-2024-07-18_r0,placement_task,test_task65,gpt-4o-mini-2024-07-18,C3_execution_feedback,0,True,Erroneous Terminate,False,False,9,4,4,0,9,0,3095,57,0.00049845,13.82242569400114
placement_task_test_task65_C3_execution_feedback_gpt-4o-mini-2024-07-18_r1,placement_task,test_task65,gpt-4o-mini-2024-07-18,C3_execution_feedback,1,True,Erroneous Terminate,False,False,9,7,7,0,15,0,5185,94,0.00083415,22.57708287100104
placement_task_test_task65_C3_execution_feedback_gpt-4o-mini-2024-07-18_r2,placement_task,test_task65,gpt-4o-mini-2024-07-18,C3_execution_feedback,2,True,Erroneous Terminate,False,False,9,7,7,0,15,0,5185,94,0.00083415,21.289021497002977
placement_task_test_task65_C4_budgeted_gpt-4o-2024-08-06_r0,placement_task,test_task65,gpt-4o-2024-08-06,C4_budgeted,0,True,Success,True,True,9,7,7,0,36,0,13092,648,0.03921,40.07858491800289
placement_task_test_task65_C4_budgeted_gpt-4o-2024-08-06_r1,placement_task,test_task65,gpt-4o-2024-08-06,C4_budgeted,1,True,Success,True,True,9,7,7,0,36,0,13112,668,0.03946,39.12630586600426
placement_task_test_task65_C4_budgeted_gpt-4o-2024-08-06_r2,placement_task,test_task65,gpt-4o-2024-08-06,C4_budgeted,2,True,Success,True,True,9,7,7,0,36,0,13066,622,0.038885,37.56622396199964
placement_task_test_task65_C4_budgeted_gpt-4o-mini-2024-07-18_r0,placement_task,test_task65,gpt-4o-mini-2024-07-18,C4_budgeted,0,True,Erroneous Terminate,False,False,9,5,5,0,26,0,9456,431,0.0016769999999999999,31.55809876499552
placement_task_test_task65_C4_budgeted_gpt-4o-mini-2024-07-18_r1,placement_task,test_task65,gpt-4o-mini-2024-07-18,C4_budgeted,1,True,Erroneous Terminate,False,False,9,6,6,0,31,0,11634,573,0.0020889,37.592938820998825
placement_task_test_task65_C4_budgeted_gpt-4o-mini-2024-07-18_r2,placement_task,test_task65,gpt-4o-mini-2024-07-18,C4_budgeted,2,True,Erroneous Terminate,False,False,9,4,4,0,21,0,7461,346,0.00132675,24.136191362995305
placement_task_test_task65_C5_full_graph_gpt-4o-2024-08-06_r0,placement_task,test_task65,gpt-4o-2024-08-06,C5_full_graph,0,True,Success,True,True,9,11,11,0,27,0,11235,207,0.0301575,32.072409009000694
placement_task_test_task65_C5_full_graph_gpt-4o-2024-08-06_r1,placement_task,test_task65,gpt-4o-2024-08-06,C5_full_graph,1,True,Success,True,True,9,11,11,0,26,0,10419,192,0.0279675,33.24071825200372
placement_task_test_task65_C5_full_graph_gpt-4o-2024-08-06_r2,placement_task,test_task65,gpt-4o-2024-08-06,C5_full_graph,2,True,Success,True,True,9,11,11,0,26,0,10419,192,0.0279675,30.587151726998854
placement_task_test_task65_C5_full_graph_gpt-4o-mini-2024-07-18_r0,placement_task,test_task65,gpt-4o-mini-2024-07-18,C5_full_graph,0,True,Erroneous Terminate,False,False,9,4,4,0,9,0,3095,57,0.00049845,14.195248698997602
placement_task_test_task65_C5_full_graph_gpt-4o-mini-2024-07-18_r1,placement_task,test_task65,gpt-4o-mini-2024-07-18,C5_full_graph,1,True,Erroneous Terminate,False,False,9,4,4,0,9,0,3095,57,0.00049845,15.432930707000196
placement_task_test_task65_C5_full_graph_gpt-4o-mini-2024-07-18_r2,placement_task,test_task65,gpt-4o-mini-2024-07-18,C5_full_graph,2,True,Erroneous Terminate,False,False,9,4,4,0,9,0,3095,57,0.00049845,13.699150902000838
placement_task_test_task65_R_fixed_gpt-4o-2024-08-06_r0,placement_task,test_task65,gpt-4o-2024-08-06,R_fixed,0,True,Success,True,True,9,8,8,0,29,0,15784,287,0.04233,35.263988421997055
placement_task_test_task65_R_fixed_gpt-4o-2024-08-06_r1,placement_task,test_task65,gpt-4o-2024-08-06,R_fixed,1,True,Success,True,True,9,10,10,0,37,0,20829,226,0.0543325,39.05596498600062
placement_task_test_task65_R_fixed_gpt-4o-2024-08-06_r2,placement_task,test_task65,gpt-4o-2024-08-06,R_fixed,2,True,Success,True,True,9,9,9,0,30,0,15871,157,0.0412475,32.90749855100148
placement_task_test_task65_R_fixed_gpt-4o-mini-2024-07-18_r0,placement_task,test_task65,gpt-4o-mini-2024-07-18,R_fixed,0,True,Erroneous Terminate,False,False,9,5,5,0,16,0,8122,72,0.0012615,19.780335122006363
placement_task_test_task65_R_fixed_gpt-4o-mini-2024-07-18_r1,placement_task,test_task65,gpt-4o-mini-2024-07-18,R_fixed,1,True,Erroneous Terminate,False,False,9,8,8,0,25,0,12747,111,0.0019786499999999998,30.624507535001612
placement_task_test_task65_R_fixed_gpt-4o-mini-2024-07-18_r2,placement_task,test_task65,gpt-4o-mini-2024-07-18,R_fixed,2,True,Success,True,True,9,8,8,0,29,0,15661,172,0.00245235,32.02968566000345
placement_task_test_task65_R_none_gpt-4o-2024-08-06_r0,placement_task,test_task65,gpt-4o-2024-08-06,R_none,0,True,Execution Failure,False,False,9,0,1,1,3,0,705,10,0.0018625,4.3661946630018065
placement_task_test_task65_R_none_gpt-4o-2024-08-06_r1,placement_task,test_task65,gpt-4o-2024-08-06,R_none,1,True,Execution Failure,False,False,9,0,1,1,3,0,705,10,0.0018625,5.701933672004088
placement_task_test_task65_R_none_gpt-4o-2024-08-06_r2,placement_task,test_task65,gpt-4o-2024-08-06,R_none,2,True,Execution Failure,False,False,9,0,1,1,3,0,705,10,0.0018625,4.149863489001291
placement_task_test_task65_R_none_gpt-4o-mini-2024-07-18_r0,placement_task,test_task65,gpt-4o-mini-2024-07-18,R_none,0,True,Execution Failure,False,False,9,0,1,1,5,0,1373,42,0.00023114999999999998,6.069609256999684
placement_task_test_task65_R_none_gpt-4o-mini-2024-07-18_r1,placement_task,test_task65,gpt-4o-mini-2024-07-18,R_none,1,True,Execution Failure,False,False,9,0,1,1,3,0,706,10,0.0001119,4.115031850000378
placement_task_test_task65_R_none_gpt-4o-mini-2024-07-18_r2,placement_task,test_task65,gpt-4o-mini-2024-07-18,R_none,2,True,Execution Failure,False,False,9,0,1,1,3,0,706,10,0.0001119,3.9667212089989334
placement_task_test_task65_R_random_gpt-4o-2024-08-06_r0,placement_task,test_task65,gpt-4o-2024-08-06,R_random,0,True,Success,True,True,9,8,8,0,25,0,7379,119,0.0196375,29.365948694001418
placement_task_test_task65_R_random_gpt-4o-2024-08-06_r1,placement_task,test_task65,gpt-4o-2024-08-06,R_random,1,True,Success,True,True,9,8,8,0,25,0,7939,118,0.0210275,27.86805778899725
placement_task_test_task65_R_random_gpt-4o-2024-08-06_r2,placement_task,test_task65,gpt-4o-2024-08-06,R_random,2,True,Success,True,True,9,8,8,0,25,0,7323,118,0.0194875,27.776572513001156
placement_task_test_task65_R_random_gpt-4o-mini-2024-07-18_r0,placement_task,test_task65,gpt-4o-mini-2024-07-18,R_random,0,True,Erroneous Terminate,False,False,9,4,4,0,17,0,5605,124,0.0009151499999999999,20.610637778001546
placement_task_test_task65_R_random_gpt-4o-mini-2024-07-18_r1,placement_task,test_task65,gpt-4o-mini-2024-07-18,R_random,1,True,Erroneous Terminate,False,False,9,3,3,0,12,0,4009,78,0.00064815,16.958120909999707
